label,kind,row,alpha_or_c,seed,do_sample,prompt_idx,gc,entropy,distinct2,distinct3,distinct4,longest_homopolymer,mean_homopolymer,top3mer_share,top6mer_share,non_acgt_filter_rate,self_nll,n_filtered,n_raw
row2371_grid,alpha,2371,1.0,42,True,0,0.3645833333333333,7.960733518004417,0.04177545691906005,0.1649214659685864,0.4671916010498688,6,1.4222222222222223,0.04712041884816754,0.005277044854881266,0.0,8.100440979003906,384,384
row2371_grid,alpha,2371,1.0,42,True,1,0.3723958333333333,7.9752869084477425,0.04177545691906005,0.15706806282722513,0.46981627296587924,7,1.3617021276595744,0.04712041884816754,0.0079155672823219,0.0,8.241488456726074,384,384
row2371_grid,alpha,2371,1.0,42,True,2,0.4973958333333333,7.682331755757332,0.04177545691906005,0.16753926701570682,0.5249343832020997,4,1.328719723183391,0.03664921465968586,0.005277044854881266,0.0,8.03437614440918,384,384
row2371_grid,alpha,2371,1.0,42,True,3,0.5104166666666666,8.032680064439774,0.04177545691906005,0.16753926701570682,0.49868766404199477,4,1.3714285714285714,0.03664921465968586,0.005277044854881266,0.0,8.370433807373047,384,384
row2371_grid,alpha,2371,1.0,42,True,4,0.3385416666666667,7.916177123785019,0.04177545691906005,0.15706806282722513,0.45144356955380577,6,1.3617021276595744,0.04712041884816754,0.005277044854881266,0.0,8.02144718170166,384,384
row2371_grid,alpha,2371,1.0,42,True,5,0.4036458333333333,7.951319456100464,0.04177545691906005,0.16753926701570682,0.4645669291338583,6,1.4169741697416973,0.04450261780104712,0.0079155672823219,0.0,8.038978576660156,384,384
row2371_grid,alpha,2371,1.0,42,True,6,0.3697916666666667,7.820113450288773,0.04177545691906005,0.16230366492146597,0.47506561679790027,4,1.3241379310344827,0.03926701570680628,0.005277044854881266,0.0,8.00027084350586,384,384
row2371_grid,alpha,2371,1.0,42,True,7,0.3541666666666667,7.473965190351009,0.04177545691906005,0.15968586387434555,0.4251968503937008,7,1.3862815884476534,0.07853403141361257,0.010554089709762533,0.0,7.4172139167785645,384,384
row2371_grid,alpha,2371,1.0,42,True,8,0.3854166666666667,7.930448330938816,0.04177545691906005,0.1649214659685864,0.49081364829396323,5,1.3763440860215055,0.034031413612565446,0.0079155672823219,0.0,8.09312629699707,384,384
row2371_grid,alpha,2371,1.0,42,True,9,0.4296875,8.035008676350117,0.04177545691906005,0.1649214659685864,0.5039370078740157,7,1.3426573426573427,0.03926701570680628,0.0079155672823219,0.0,8.32068920135498,384,384
row2371_grid,alpha,2371,1.0,42,True,10,0.4973958333333333,4.615429353900254,0.04177545691906005,0.16753926701570682,0.49081364829396323,5,1.4222222222222223,0.03664921465968586,0.0079155672823219,0.0,4.709744930267334,384,384
row2371_grid,alpha,2371,1.0,42,True,11,0.4244791666666667,3.9349759183824062,0.04177545691906005,0.16753926701570682,0.48031496062992124,12,1.471264367816092,0.08376963350785341,0.026385224274406333,0.0,3.860410451889038,384,384
row2371_grid,alpha,2371,1.0,42,True,12,0.4192708333333333,7.901636406779289,0.04177545691906005,0.16230366492146597,0.49868766404199477,4,1.3862815884476534,0.041884816753926704,0.0079155672823219,0.0,8.216066360473633,384,384
row2371_grid,alpha,2371,1.0,42,True,13,0.2942708333333333,7.777786232531071,0.04177545691906005,0.16230366492146597,0.4068241469816273,6,1.381294964028777,0.06544502617801047,0.010554089709762533,0.0,7.878233432769775,384,384
row2371_grid,alpha,2371,1.0,42,True,14,0.59375,7.919321469962597,0.04177545691906005,0.16753926701570682,0.46194225721784776,6,1.3665480427046264,0.041884816753926704,0.0079155672823219,0.0,8.022624969482422,384,384
row2371_grid,alpha,2371,1.0,42,True,15,0.34375,7.893743373453617,0.04177545691906005,0.16230366492146597,0.45144356955380577,6,1.391304347826087,0.049738219895287955,0.0079155672823219,0.0,8.130553245544434,384,384
row2371_grid,alpha,2371,1.0,42,True,16,0.2916666666666667,7.673310853540897,0.04177545691906005,0.16230366492146597,0.4461942257217848,7,1.5,0.08900523560209424,0.0079155672823219,0.0,7.811488151550293,384,384
row2371_grid,alpha,2371,1.0,42,True,17,0.4557291666666667,8.011065557599068,0.04177545691906005,0.16753926701570682,0.5039370078740157,4,1.3241379310344827,0.03664921465968586,0.005277044854881266,0.0,8.31554126739502,384,384
row2371_grid,alpha,2371,1.0,42,True,18,0.5078125,7.992070518434048,0.04177545691906005,0.16753926701570682,0.5144356955380578,6,1.3426573426573427,0.028795811518324606,0.0079155672823219,0.0,8.388200759887695,384,384
row2371_grid,alpha,2371,1.0,42,True,19,0.359375,7.752144947648048,0.04177545691906005,0.15968586387434555,0.46981627296587924,6,1.4328358208955223,0.04712041884816754,0.0079155672823219,0.0,7.793827533721924,384,384
row2371_grid,alpha,2371,1.0,42,True,20,0.4609375,6.646811407059431,0.04177545691906005,0.16753926701570682,0.5275590551181102,6,1.3379790940766552,0.031413612565445025,0.005277044854881266,0.0,7.127686023712158,384,384
row2371_grid,alpha,2371,1.0,42,True,21,0.5364583333333334,7.995693385601044,0.04177545691906005,0.16753926701570682,0.49868766404199477,4,1.2757475083056478,0.031413612565445025,0.005277044854881266,0.0,8.405749320983887,384,384
row2371_grid,alpha,2371,1.0,42,True,22,0.5,7.451647061854601,0.04177545691906005,0.16753926701570682,0.5354330708661418,5,1.3061224489795917,0.034031413612565446,0.0079155672823219,0.0,8.136663436889648,384,384
row2371_grid,alpha,2371,1.0,42,True,23,0.3463541666666667,7.246203288435936,0.04177545691906005,0.16753926701570682,0.49343832020997375,10,1.465648854961832,0.08638743455497382,0.021108179419525065,0.0,7.079662322998047,384,384
row2371_grid,alpha,2371,1.0,42,True,24,0.3307291666666667,7.9160758554935455,0.04177545691906005,0.15706806282722513,0.45144356955380577,5,1.3333333333333333,0.049738219895287955,0.0079155672823219,0.0,8.089333534240723,384,384
row2371_grid,alpha,2371,1.0,42,True,25,0.4557291666666667,8.055286452174187,0.04177545691906005,0.1649214659685864,0.5196850393700787,4,1.2972972972972974,0.04450261780104712,0.0079155672823219,0.0,8.369292259216309,384,384
row2371_grid,alpha,2371,1.0,42,True,26,0.3046875,7.907050631940365,0.04177545691906005,0.15706806282722513,0.4461942257217848,7,1.4169741697416973,0.060209424083769635,0.0079155672823219,0.0,7.895023345947266,384,384
row2371_grid,alpha,2371,1.0,42,True,27,0.421875,8.045404359698296,0.04177545691906005,0.16753926701570682,0.5144356955380578,5,1.4222222222222223,0.04450261780104712,0.005277044854881266,0.0,8.287200927734375,384,384
