model_id	tail	baseline_loss	relative_delta_eps1_0	perturbed_loss_implied	endpoint	n_eval_units	batch_size	median_control_eps1_0	control_spread	G_eps1_0	baseline_is_small	activation_ratio	note
HuggingFaceTB/SmolLM2-1.7B	positive_top3	2.6145340592893835	6.988738472947954	20.886828828277885	causal_LM_NLL	100	8	-8.076944850709427e-06	4.0424926241219226e-05	6.988746549892805	False	4488.878168254759	baseline in normal range
ModernBERT-base	positive_top3	1.52405771854778	3.570440314807799	6.965614838944771	MLM	256	16	6.485239069165062e-05	0.0001512907705113397	3.570375462417107	False	711.537430962357	baseline in normal range
HuggingFaceTB/SmolLM2-135M	positive_top3	3.3001462359344425	3.1341752821146263	13.643382995963794	causal_LM_NLL	100	8	4.040309935367159e-05	0.000193430489632299	3.1341348790152725	False	1535.1358428708	baseline in normal range
NTv3	negative	1.1444061123196168	-0.007949366731059835	1.1353088084435217	MLM	256	16	-1.703074537723427e-06	6.477475519723174e-05	-0.007947663656522112	False	121.86181719223082	baseline in normal range
EuroBERT/EuroBERT-2.1B	negative	8.12560979581756	-0.00011898446726430181	8.124642974464807	MLM	256	16	2.3816566404107678e-05	4.668022423994785e-05	-0.0001428010336684095	False	586.4797515880183	baseline in normal range
