predictor	endpoint	rho_all	p_all	n_all	rho_one_per_family_det	p_one_per_family_det	n_families	rho_resample_mean	rho_resample_lo	rho_resample_hi	frac_draws_positive
activation_ratio	R_cand_eps1.0	0.7662337662337665	3.213226251313809e-05	22	0.7202797202797203	0.008239768712338441	12	0.7659615384615386	0.6293706293706295	0.8811188811188813	1.0
q1	R_cand_eps1.0	0.07396950875211745	0.7435587990333694	22	0.17482517482517487	0.5868236643627043	12	0.4413706293706294	0.16783216783216784	0.7552447552447553	1.0
layer_relative_frobenius	R_cand_eps1.0	0.4409937888198759	0.03993999904430384	22	0.3916083916083916	0.2080634636953532	12	0.6171783216783218	0.3846153846153847	0.8111888111888113	1.0
