model,domain,architecture,total_params,layer,row,epsilon,baseline_loss,perturbed_loss,relative_loss_change,relative_ci95_low,relative_ci95_high
GenerTeam/GENERator-v2-prokaryote-1.2b-base,genomic,decoder,1162061824,4,411,0.5,8.127733578681946,8.127806429862977,8.963283592602203e-06,2.3341618827575896e-07,1.7698532080650026e-05
GenerTeam/GENERator-v2-prokaryote-1.2b-base,genomic,decoder,1162061824,4,411,1.0,8.127733578681946,8.127885398864747,1.8679276495822035e-05,6.425788043915911e-07,3.6449593357799306e-05
GenerTeam/GENERator-v2-prokaryote-1.2b-base,genomic,decoder,1162061824,4,1094,0.5,8.127733578681946,8.127663283348083,-8.648823584416378e-06,-2.1265451700091804e-05,2.8610552718957137e-06
GenerTeam/GENERator-v2-prokaryote-1.2b-base,genomic,decoder,1162061824,4,1094,1.0,8.127733578681946,8.12759575843811,-1.6956786600080415e-05,-4.2478988081239e-05,5.555621739305584e-06
GenerTeam/GENERator-v2-prokaryote-1.2b-base,genomic,decoder,1162061824,4,1207,0.5,8.127733578681946,8.127681345939637,-6.4264830784001215e-06,-1.4968065169786163e-05,1.892197746888393e-06
GenerTeam/GENERator-v2-prokaryote-1.2b-base,genomic,decoder,1162061824,4,1207,1.0,8.127733578681946,8.12762993812561,-1.275147066926459e-05,-2.9553135867057124e-05,4.222971414967055e-06
GenerTeam/GENERator-v2-prokaryote-1.2b-base,genomic,decoder,1162061824,4,1619,0.5,8.127733578681946,8.127533588409424,-2.4605908964166077e-05,-4.021396941145101e-05,-1.0345579563896991e-05
GenerTeam/GENERator-v2-prokaryote-1.2b-base,genomic,decoder,1162061824,4,1619,1.0,8.127733578681946,8.127317404747009,-5.120418021927605e-05,-8.566759421074665e-05,-2.1109817533259796e-05
GenerTeam/GENERator-v2-prokaryote-1.2b-base,genomic,decoder,1162061824,4,1799,0.5,8.127733578681946,8.127553806304931,-2.211838949623826e-05,-3.799560131179704e-05,-7.438919960148008e-06
GenerTeam/GENERator-v2-prokaryote-1.2b-base,genomic,decoder,1162061824,4,1799,1.0,8.127733578681946,8.127382116317749,-4.32423578842154e-05,-7.362758526812562e-05,-1.4697052662450194e-05
GenerTeam/GENERator-v2-prokaryote-3b-base,genomic,decoder,2998262784,8,960,0.5,8.23783396244049,8.237825613021851,-1.013545390355065e-06,-1.0586871962904938e-05,7.649256874360498e-06
GenerTeam/GENERator-v2-prokaryote-3b-base,genomic,decoder,2998262784,8,960,1.0,8.23783396244049,8.237818465232849,-1.8812235973994377e-06,-2.0728987168655416e-05,1.5163407003051621e-05
GenerTeam/GENERator-v2-prokaryote-3b-base,genomic,decoder,2998262784,8,1268,0.5,8.23783396244049,8.237639236450196,-2.3638008629691156e-05,-3.736821306200932e-05,-1.0296277640425662e-05
GenerTeam/GENERator-v2-prokaryote-3b-base,genomic,decoder,2998262784,8,1268,1.0,8.23783396244049,8.237448134422301,-4.683610035695084e-05,-7.623363286498446e-05,-2.0821436821045403e-05
GenerTeam/GENERator-v2-prokaryote-3b-base,genomic,decoder,2998262784,8,1327,0.5,8.23783396244049,8.237992701530457,1.926951801779931e-05,6.113904092730307e-06,3.210691232299238e-05
GenerTeam/GENERator-v2-prokaryote-3b-base,genomic,decoder,2998262784,8,1327,1.0,8.23783396244049,8.238154301643371,3.888633885336442e-05,1.2965048192845284e-05,6.615090758626356e-05
GenerTeam/GENERator-v2-prokaryote-3b-base,genomic,decoder,2998262784,8,1440,0.5,8.23783396244049,8.237886748313905,6.407736991929976e-06,-2.151037606043778e-06,1.4917379323078437e-05
GenerTeam/GENERator-v2-prokaryote-3b-base,genomic,decoder,2998262784,8,1440,1.0,8.23783396244049,8.237940559387207,1.2939924160001412e-05,-4.041014150538443e-06,3.0996006688544554e-05
GenerTeam/GENERator-v2-prokaryote-3b-base,genomic,decoder,2998262784,8,1680,0.5,8.23783396244049,8.237755160331727,-9.565877283147893e-06,-1.8441784403628333e-05,-8.214559516325167e-07
GenerTeam/GENERator-v2-prokaryote-3b-base,genomic,decoder,2998262784,8,1680,1.0,8.23783396244049,8.237676305770874,-1.913812178480658e-05,-3.68960720152333e-05,-1.6279677683444998e-06
EuroBERT/EuroBERT-210m,text,encoder,310266624,3,97,0.5,8.251931444703054,8.249288047022866,-0.00032033684451960556,-0.0003530181164436416,-0.0002876454057563472
EuroBERT/EuroBERT-210m,text,encoder,310266624,3,97,1.0,8.251931444703054,8.246747805594277,-0.0006281728275996003,-0.0006933992347902284,-0.0005635839319968886
EuroBERT/EuroBERT-210m,text,encoder,310266624,3,316,0.5,8.251931444703054,8.250128733007443,-0.00021845936405199943,-0.0002739270566675534,-0.00016979079445373057
EuroBERT/EuroBERT-210m,text,encoder,310266624,3,316,1.0,8.251931444703054,8.248543973237123,-0.00041050649640401993,-0.0005179200640153869,-0.00031450977061010197
EuroBERT/EuroBERT-210m,text,encoder,310266624,3,361,0.5,8.251931444703054,8.253627503324978,0.00020553474459762146,0.00017370919942340308,0.00023238356912703536
EuroBERT/EuroBERT-210m,text,encoder,310266624,3,361,1.0,8.251931444703054,8.255456591050054,0.00042719045481926285,0.0003652922025339281,0.0004809173540913599
EuroBERT/EuroBERT-210m,text,encoder,310266624,3,486,0.5,8.251931444703054,8.25271253484833,9.465543315649308e-05,7.164307711465427e-05,0.00011847173556074348
EuroBERT/EuroBERT-210m,text,encoder,310266624,3,486,1.0,8.251931444703054,8.25353149058136,0.0001938995602456802,0.0001480268687313613,0.0002417696009740525
EuroBERT/EuroBERT-210m,text,encoder,310266624,3,620,0.5,8.251931444703054,8.251891331158243,-4.861109799560679e-06,-2.7722629421716533e-05,1.8460577161727488e-05
EuroBERT/EuroBERT-210m,text,encoder,310266624,3,620,1.0,8.251931444703054,8.251805209425674,-1.5297664337805453e-05,-6.11430757965467e-05,3.2601237049691815e-05
EuroBERT/EuroBERT-610m,text,encoder,755625600,13,47,0.5,9.218351562100363,9.218463460407182,1.2138646054639443e-05,7.2678030265575415e-06,1.7165451043633665e-05
EuroBERT/EuroBERT-610m,text,encoder,755625600,13,47,1.0,9.218351562100363,9.218589795593765,2.584339421175498e-05,1.630762226017167e-05,3.582168028366012e-05
EuroBERT/EuroBERT-610m,text,encoder,755625600,13,405,0.5,9.218351562100363,9.218283823661057,-7.3482160936709145e-06,-1.001661893143728e-05,-4.554497291987697e-06
EuroBERT/EuroBERT-610m,text,encoder,755625600,13,405,1.0,9.218351562100363,9.218224827276972,-1.3748100464335167e-05,-1.9175807005354057e-05,-8.491631184671234e-06
EuroBERT/EuroBERT-610m,text,encoder,755625600,13,830,0.5,9.218351562100363,9.216643814101744,-0.00018525524733079997,-0.00019791903634731986,-0.0001723390802823944
EuroBERT/EuroBERT-610m,text,encoder,755625600,13,830,1.0,9.218351562100363,9.215020039787841,-0.0003614010910820975,-0.00038655919476035045,-0.00033608440696819434
EuroBERT/EuroBERT-610m,text,encoder,755625600,13,979,0.5,9.218351562100363,9.219298051930405,0.00010267452089086335,9.298514503848844e-05,0.00011239438402089131
EuroBERT/EuroBERT-610m,text,encoder,755625600,13,979,1.0,9.218351562100363,9.22027796138869,0.00020897437848301233,0.00018994172840854155,0.000228793137604828
EuroBERT/EuroBERT-610m,text,encoder,755625600,13,1088,0.5,9.218351562100363,9.218245658345696,-1.1488361444418067e-05,-1.6983591073546722e-05,-6.71216273335766e-06
EuroBERT/EuroBERT-610m,text,encoder,755625600,13,1088,1.0,9.218351562100363,9.218154041606988,-2.142687790154331e-05,-3.230161477520573e-05,-1.1590949194644487e-05
EuroBERT/EuroBERT-2.1B,text,encoder,2403092736,14,560,0.5,8.12560979581756,8.125606099177068,-4.549369936865021e-07,-2.0986550820822925e-06,1.1552139186721603e-06
EuroBERT/EuroBERT-2.1B,text,encoder,2403092736,14,560,1.0,8.12560979581756,8.12560694840529,-3.504244409912655e-07,-3.791025017299956e-06,2.858587613248993e-06
EuroBERT/EuroBERT-2.1B,text,encoder,2403092736,14,1905,0.5,8.12560979581756,8.12575106742992,1.738597051916562e-05,1.5239403034915291e-05,1.95120835233699e-05
EuroBERT/EuroBERT-2.1B,text,encoder,2403092736,14,1905,1.0,8.12560979581756,8.125895985728171,3.522073023468464e-05,3.08706570871416e-05,3.9435288110339735e-05
EuroBERT/EuroBERT-2.1B,text,encoder,2403092736,14,1946,0.5,8.12560979581756,8.125585368017546,-3.006272837080555e-06,-7.464842451777227e-06,1.1617544843452425e-06
EuroBERT/EuroBERT-2.1B,text,encoder,2403092736,14,1946,1.0,8.12560979581756,8.125567734043301,-5.176445253473666e-06,-1.4481758495578145e-05,3.3521662383086546e-06
EuroBERT/EuroBERT-2.1B,text,encoder,2403092736,14,2212,0.5,8.12560979581756,8.125694968412706,1.0481994248537753e-05,4.47813231392885e-06,1.633031219589667e-05
EuroBERT/EuroBERT-2.1B,text,encoder,2403092736,14,2212,1.0,8.12560979581756,8.125803319942836,2.3816566404107678e-05,1.1857706512107883e-05,3.5310668476353616e-05
EuroBERT/EuroBERT-2.1B,text,encoder,2403092736,14,2286,0.5,8.12560979581756,8.125773846728093,2.0189366048188806e-05,1.7444167895295395e-05,2.2334763588875852e-05
EuroBERT/EuroBERT-2.1B,text,encoder,2403092736,14,2286,1.0,8.12560979581756,8.125947039330656,4.150377898647419e-05,3.618347685888224e-05,4.597301959660407e-05
answerdotai/ModernBERT-large,text,encoder,395881664,19,144,0.5,1.223925887615726,1.2239279148213256,1.6563140138800046e-06,-6.425031793996483e-05,7.282650172486224e-05
answerdotai/ModernBERT-large,text,encoder,395881664,19,144,1.0,1.223925887615726,1.2239469605430708,1.721748641654245e-05,-0.00011738277778220841,0.00015358816324920028
answerdotai/ModernBERT-large,text,encoder,395881664,19,154,0.5,1.223925887615726,1.2238908244670201,-2.864809794499256e-05,-0.0001041879967618631,4.4537735069649996e-05
answerdotai/ModernBERT-large,text,encoder,395881664,19,154,1.0,1.223925887615726,1.2238785736381184,-3.865755115268413e-05,-0.00018679296982250683,0.00011100151139402339
answerdotai/ModernBERT-large,text,encoder,395881664,19,374,0.5,1.223925887615726,1.2239201814073712,-4.662217224469844e-06,-7.155036929151423e-05,6.260766487990593e-05
answerdotai/ModernBERT-large,text,encoder,395881664,19,374,1.0,1.223925887615726,1.2239390394248943,1.0745592769516807e-05,-0.00012147923633862759,0.00013875653247872902
answerdotai/ModernBERT-large,text,encoder,395881664,19,841,0.5,1.223925887615726,1.2238033230154408,-0.00010014054080015342,-0.0001575798571850008,-4.205410670962516e-05
answerdotai/ModernBERT-large,text,encoder,395881664,19,841,1.0,1.223925887615726,1.2237041713884707,-0.0001811516771552433,-0.00028998043929735014,-5.9694436564467724e-05
answerdotai/ModernBERT-large,text,encoder,395881664,19,940,0.5,1.223925887615726,1.2239451272985007,1.5719646891536723e-05,-4.670707507604963e-05,7.875479587345114e-05
answerdotai/ModernBERT-large,text,encoder,395881664,19,940,1.0,1.223925887615726,1.2239851145546354,4.8390952024759275e-05,-7.397933770635135e-05,0.0001793290100141421
