model,display_model,repo,requested_revision,resolved_revision,architecture,domain,family,total_params,non_embed_params,candidate_layer,candidate_row,candidate_source,q1,pr_spec,frob_norm,layer_median_frob_norm,frob_ratio_to_layer_median,control_rows,baseline_loss,endpoint_json,raw_artifact,candidate_perturbed_loss_eps0p5,candidate_absolute_delta_loss_eps0p5,candidate_relative_loss_change_eps0p5,candidate_relative_ci95_low_eps0p5,candidate_relative_ci95_high_eps0p5,median_control_absolute_delta_loss_eps0p5,median_control_relative_loss_change_eps0p5,candidate_minus_median_control_absolute_eps0p5,candidate_minus_median_control_relative_eps0p5,control1_layer,control1_row,control1_perturbed_loss_eps0p5,control1_absolute_delta_loss_eps0p5,control1_relative_loss_change_eps0p5,control1_relative_ci95_low_eps0p5,control1_relative_ci95_high_eps0p5,control2_layer,control2_row,control2_perturbed_loss_eps0p5,control2_absolute_delta_loss_eps0p5,control2_relative_loss_change_eps0p5,control2_relative_ci95_low_eps0p5,control2_relative_ci95_high_eps0p5,control3_layer,control3_row,control3_perturbed_loss_eps0p5,control3_absolute_delta_loss_eps0p5,control3_relative_loss_change_eps0p5,control3_relative_ci95_low_eps0p5,control3_relative_ci95_high_eps0p5,control4_layer,control4_row,control4_perturbed_loss_eps0p5,control4_absolute_delta_loss_eps0p5,control4_relative_loss_change_eps0p5,control4_relative_ci95_low_eps0p5,control4_relative_ci95_high_eps0p5,control5_layer,control5_row,control5_perturbed_loss_eps0p5,control5_absolute_delta_loss_eps0p5,control5_relative_loss_change_eps0p5,control5_relative_ci95_low_eps0p5,control5_relative_ci95_high_eps0p5,candidate_perturbed_loss_eps1p0,candidate_absolute_delta_loss_eps1p0,candidate_relative_loss_change_eps1p0,candidate_relative_ci95_low_eps1p0,candidate_relative_ci95_high_eps1p0,median_control_absolute_delta_loss_eps1p0,median_control_relative_loss_change_eps1p0,candidate_minus_median_control_absolute_eps1p0,candidate_minus_median_control_relative_eps1p0,control1_perturbed_loss_eps1p0,control1_absolute_delta_loss_eps1p0,control1_relative_loss_change_eps1p0,control1_relative_ci95_low_eps1p0,control1_relative_ci95_high_eps1p0,control2_perturbed_loss_eps1p0,control2_absolute_delta_loss_eps1p0,control2_relative_loss_change_eps1p0,control2_relative_ci95_low_eps1p0,control2_relative_ci95_high_eps1p0,control3_perturbed_loss_eps1p0,control3_absolute_delta_loss_eps1p0,control3_relative_loss_change_eps1p0,control3_relative_ci95_low_eps1p0,control3_relative_ci95_high_eps1p0,control4_perturbed_loss_eps1p0,control4_absolute_delta_loss_eps1p0,control4_relative_loss_change_eps1p0,control4_relative_ci95_low_eps1p0,control4_relative_ci95_high_eps1p0,control5_perturbed_loss_eps1p0,control5_absolute_delta_loss_eps1p0,control5_relative_loss_change_eps1p0,control5_relative_ci95_low_eps1p0,control5_relative_ci95_high_eps1p0
Qwen/Qwen2.5-0.5B,Qwen2.5-0.5B,Qwen/Qwen2.5-0.5B,060db6499f32faf8b98477b0a26969ef7d8b9987,060db6499f32faf8b98477b0a26969ef7d8b9987,decoder,text,Qwen2.5,494032768,357898112,21,62,results/E11/raw/qwen25-0.5b.json,0.9981566830594912,1.003696649788444,18.726591709019885,0.6115151144957984,30.623268771468037,35;488;620;714;763,3.1279006390655577,"{""batch_size"": 8, ""max_tokens"": 512, ""n_windows"": 100}",results/E13/raw/qwen25-0.5b.json,3.1440530783696183,0.01615243930406063,0.005163987341006483,0.004757193531191201,0.005590703259716082,0.00014469751406576137,4.6260265514376735e-05,0.016007741789994867,0.005117727075492106,21,35,3.1287234646373534,0.0008228255717956934,0.00026306000948978604,7.74779565743127e-05,0.0004535689952291017,21,488,3.1280453365796235,0.00014469751406576137,4.6260265514376735e-05,1.7688335090761e-05,7.619830338060713e-05,21,620,3.1278866786172945,-1.3960448263183878e-05,-4.463200681257728e-06,-2.1930051686346868e-05,1.4390462283520647e-05,21,714,3.1278941222786205,-6.516786937194041e-06,-2.0834379634069494e-06,-3.2580814252859626e-05,2.8357558043988653e-05,21,763,3.1280474005473335,0.0001467614817758367,4.692012269919189e-05,6.076847586980395e-06,8.756368278477825e-05,3.145279352296355,0.017378713230797427,0.005556031100779856,0.005156171135172713,0.0059805067465599025,0.00037270861362515006,0.00011915615508058293,0.017006004617172277,0.005436874945699274,3.1309635767031554,0.0030629376375976847,0.0009792311173006825,0.0005875843423676285,0.0013612231809198693,3.1282988319471623,0.00039819288160458655,0.00012730355837759104,6.957987838573977e-05,0.00018813664216213766,3.127909716701321,9.077635763077296e-06,2.9021496558116972e-06,-3.320188394661656e-05,3.963186383883739e-05,3.1279876601486056,8.702108304792233e-05,2.7820923069320827e-05,-3.581840680412093e-05,9.005328869667458e-05,3.128273347679183,0.00037270861362515006,0.00011915615508058293,4.0469373784449886e-05,0.0001999626657806481
Qwen/Qwen2.5-1.5B,Qwen2.5-1.5B,Qwen/Qwen2.5-1.5B,8faed761d45a263340a0528343f099c05c9a4323,8faed761d45a263340a0528343f099c05c9a4323,decoder,text,Qwen2.5,1543714304,1310340608,26,408,results/E11/raw/qwen25-1.5b.json,0.9950986414892103,1.0098722524248653,86.68857568622904,3.8898088808637614,22.28607583079485,443;571;930;1118;1343,2.7555732479207435,"{""batch_size"": 8, ""max_tokens"": 512, ""n_windows"": 100}",results/E13/raw/qwen25-1.5b.json,2.7720830594116928,0.01650981149094921,0.005991425378877851,0.00529860510957706,0.006717235972304664,2.727112891420802e-05,9.896717111325504e-06,0.016482540362035003,0.005981528661766525,26,443,2.755623394691781,5.014677103742926e-05,1.8198308128905015e-05,-4.3446071391393514e-07,3.698315243167123e-05,26,571,2.75552676087023,-4.6487050513466244e-05,-1.6870192272531205e-05,-3.758645001942928e-05,4.057635034410266e-06,26,930,2.755575512551981,2.2646312376473077e-06,8.218367047060414e-07,-1.9630466663526913e-05,1.9014422816205866e-05,26,1118,2.7556005190496577,2.727112891420802e-05,9.896717111325504e-06,-3.4802526612854976e-06,2.281021424007968e-05,26,1343,2.7556444356959395,7.118777519599107e-05,2.583410738571613e-05,-1.0805649059625508e-06,5.435751711062538e-05,2.7734308112157535,0.01785756329500998,0.006480525715832325,0.005769423092791129,0.007184987427703715,7.804855675175304e-05,2.832389115790904e-05,0.01777951473825823,0.006452201824674416,2.755706555390778,0.0001333074700342607,4.837740028680047e-05,1.1095402165091608e-05,8.808521126681397e-05,2.7555229291523973,-5.031876834626914e-05,-1.8260726106351147e-05,-5.878832769595278e-05,2.115338102875056e-05,2.7556208625091734,4.7614588429834015e-05,1.7279376792383317e-05,-2.151284357603322e-05,5.2859338401561435e-05,2.7556512964774953,7.804855675175304e-05,2.832389115790904e-05,2.754455942114082e-06,5.4525381997883314e-05,2.7557605147688355,0.00018726684809200478,6.795930691855483e-05,1.6126380202382176e-05,0.00012322600610363213
Qwen/Qwen2.5-3B,Qwen2.5-3B,Qwen/Qwen2.5-3B,3aab1f1954e9cc14eb9509a215f9e5ca08227a9b,3aab1f1954e9cc14eb9509a215f9e5ca08227a9b,decoder,text,Qwen2.5,3085938688,2774773760,30,318,results/E11/raw/qwen25-3b.json,0.8173600221565082,1.4393617425532852,37.905147328895474,4.556944867725429,8.318105315988955,94;128;147;668;1146,2.611140428158635,"{""batch_size"": 4, ""max_tokens"": 512, ""n_windows"": 100}",results/E13/raw/qwen25-3b.json,2.6643236014707683,0.05318317331213329,0.02036779513602715,0.01935145109596986,0.021379115323118227,3.422746453018988e-05,1.3108243494329004e-05,0.0531489458476031,0.02035468689253282,30,94,2.611174655623165,3.422746453018988e-05,1.3108243494329004e-05,4.5624318914057183e-07,2.503031125141219e-05,30,128,2.6110756329500977,-6.479520853730492e-05,-2.481490763137478e-05,-4.132179255139821e-05,-8.0784158778646e-06,30,147,2.6111862845523484,4.5856393713350485e-05,1.7561825943497115e-05,4.49247520645037e-06,3.0964586909132666e-05,30,668,2.6111227124357876,-1.7715722847366777e-05,-6.7846687433275386e-06,-2.283171126288554e-05,9.20870776044576e-06,30,1146,2.61118249105614,4.206289750507963e-05,1.6109013920305393e-05,3.257223609921656e-06,2.93703882649199e-05,2.694057712741561,0.0829172845829258,0.03175519925651747,0.02994176562796433,0.03375019424230702,8.405890716733921e-05,3.21924115075715e-05,0.08283322567575846,0.0317230068450099,2.6112244870658023,8.405890716733921e-05,3.21924115075715e-05,8.018931733435294e-06,5.6577947174367114e-05,2.61103139142001,-0.00010903673862516783,-4.175828210896342e-05,-7.534993199604658e-05,-6.659201600830738e-06,2.6112503726608365,0.00010994450220147556,4.210593234122148e-05,1.6189654035488417e-05,7.010698842401261e-05,2.6111240024156066,-1.642574302840316e-05,-6.290639465908206e-06,-3.8139610521027636e-05,2.5061594670536188e-05,2.6112398617141634,9.943355552843869e-05,3.8080508599286175e-05,1.3489836820547563e-05,6.428717304380585e-05
HuggingFaceTB/SmolLM2-135M,SmolLM2-135M,HuggingFaceTB/SmolLM2-135M,93efa2f097d58c2a74874c7e644dbc9b0cee75a2,93efa2f097d58c2a74874c7e644dbc9b0cee75a2,decoder,text,SmolLM2,134515008,106203456,11,507,results/E11/raw/smollm2-135m.json,0.9243918826993042,1.169251561735028,2002.997197003894,160.53284229581737,12.47718017297001,294;320;402;441;448,3.3001462359344425,"{""batch_size"": 8, ""max_tokens"": 512, ""n_windows"": 100}",results/E13/raw/smollm2-135m.json,3.4249193905944226,0.12477315465998018,0.03780837142953165,0.03553572545937581,0.04022210639669096,2.2244985322661393e-05,6.740605940561505e-06,0.12475090967465752,0.03780163082359109,11,294,3.3000418240123532,-0.00010441192208920924,-3.1638574361431237e-05,-6.777087791193806e-05,6.705088518282998e-06,11,320,3.2999921645670254,-0.0001540713674170746,-4.6686224307102264e-05,-6.786174471590156e-05,-2.5825591387086706e-05,11,402,3.30029010212818,0.00014386619373762954,4.3593884468241926e-05,1.4009089397045286e-05,7.279185621661756e-05,11,441,3.300168480919765,2.2244985322661393e-05,6.740605940561505e-06,-2.1624219689252658e-05,3.451559951347959e-05,11,448,3.300191614557852,4.537862340958654e-05,1.3750488664856847e-05,-5.736139326616152e-06,3.507591698885658e-05,13.643382995963796,10.343236760029352,3.1341752821146263,3.095335193166447,3.1734353688080112,0.0001333361362521046,4.040309935367159e-05,10.343103423893101,3.1341348790152725,3.3000206778987278,-0.00012555803571467905,-3.804620363410262e-05,-0.00010987122623221697,3.929369656420259e-05,3.299898598030822,-0.000247637903620479,-7.50384637274596e-05,-0.00011799656666176643,-3.226079747637527e-05,3.300536946933097,0.00039071099865450876,0.0001183920259048394,5.98619581475391e-05,0.00017548198488995218,3.3002795720706946,0.0001333361362521046,4.040309935367159e-05,-1.8303722151469185e-05,9.81373673348332e-05,3.3003231065007337,0.00017687056629123177,5.3594766306212044e-05,1.4078814265361722e-05,9.564897008628808e-05
HuggingFaceTB/SmolLM2-360M,SmolLM2-360M,HuggingFaceTB/SmolLM2-360M,f8027fd0eaeea54caa13c31d31b9fdc459c38b49,f8027fd0eaeea54caa13c31d31b9fdc459c38b49,decoder,text,SmolLM2,361821120,314635200,3,87,results/E11/raw/smollm2-360m.json,0.9742504779226046,1.0535466426798263,5692.495943194842,254.39390864147404,22.37669908683808,238;258;338;577;934,2.992406347465142,"{""batch_size"": 8, ""max_tokens"": 512, ""n_windows"": 100}",results/E13/raw/smollm2-360m.json,3.0602768201137476,0.06787047264860568,0.022680901177107363,0.021620257310486557,0.0239806577925057,3.989382032765221e-05,1.3331685505027129e-05,0.06783057882827803,0.022667569491602337,3,238,2.9924462412854695,3.989382032765221e-05,1.3331685505027129e-05,-3.934740086167994e-06,3.330039852239053e-05,3,258,2.992464129005626,5.778154048430295e-05,1.9309389760267522e-05,-3.849644962478871e-06,4.095871416259941e-05,3,338,2.9923798407687134,-2.650669642845216e-05,-8.857986967881517e-06,-4.1788984753610694e-05,2.2619580236598082e-05,3,577,2.9924094911937376,3.143728595667028e-06,1.0505687499059314e-06,-2.776709437412232e-05,2.8831835714876254e-05,3,934,2.9927580341854205,0.00035168672027863224,0.00011752639162009029,9.633406425141119e-05,0.00014134820160759375,4.762548465019569,1.7701421175544274,0.5915447008237732,0.3593590653264605,0.8433966699627629,0.00011542930528385398,3.85740744674044e-05,1.7700266882491436,0.5915061267493058,2.9925217767704257,0.00011542930528385398,3.85740744674044e-05,5.484184711291959e-06,7.737236998900428e-05,2.9925499461075096,0.0001435986423676816,4.798768138201671e-05,-5.092688666031966e-08,9.082848056592752e-05,2.992421445006727,1.5097541584907503e-05,5.045284574301409e-06,-6.142562629885539e-05,6.370382625085693e-05,2.9924473783787917,4.103091364981992e-05,1.371167845723128e-05,-4.6734068686865295e-05,6.879664153299273e-05,2.993168371988136,0.0007620245229942313,0.00025465275584639097,0.00020913087384382206,0.0003044925578429331
HuggingFaceTB/SmolLM2-1.7B,SmolLM2-1.7B,HuggingFaceTB/SmolLM2-1.7B,effd688a12921b4cc83e3312b6feb579f70f9c71,effd688a12921b4cc83e3312b6feb579f70f9c71,decoder,text,SmolLM2,1711376384,1610713088,7,227,results/E11/raw/smollm2-1.7b.json,0.9663919138439745,1.0707002949326883,3922.6019896226653,252.49372027442428,15.535443754242134,317;582;1422;1547;2043,2.6145340592893835,"{""batch_size"": 8, ""max_tokens"": 512, ""n_windows"": 100}",results/E13/raw/smollm2-1.7b.json,2.716646664016634,0.10211260472725048,0.03905575617362741,0.037077223873462926,0.04129755347185535,-1.711373226509494e-05,-6.545614582564039e-06,0.10212971845951557,0.03906230178820997,7,317,2.6145169455571184,-1.711373226509494e-05,-6.545614582564039e-06,-2.5825968680776994e-05,1.0461198087764553e-05,7,582,2.614545955769936,1.1896480552664457e-05,4.55013409000985e-06,-6.939268718973674e-06,1.6156708435145022e-05,7,1422,2.6145318711013945,-2.1881879890273126e-06,-8.369322943997335e-07,-1.3876742649133745e-05,1.2800599040291653e-05,7,1547,2.614492665270303,-4.139401908043183e-05,-1.5832273797833984e-05,-2.6868085528828534e-05,-3.106235506233938e-06,7,2043,2.614502994664261,-3.106462512247887e-05,-1.188151480073741e-05,-2.2543870911347607e-05,-1.5420737215157445e-06,20.886828828277885,18.272294768988502,6.988738472947954,6.6808757015606,7.27035454794628,-2.11174474071818e-05,-8.076944850709427e-06,18.27231588643591,6.988746549892805,2.6145129418419764,-2.11174474071818e-05,-8.076944850709427e-06,-4.808491518070357e-05,2.6840359134712658e-05,2.614570341166218,3.6281876834465265e-05,1.3876995293121746e-05,-8.460240459634938e-06,3.6283229139806276e-05,2.6145412449547454,7.185665361841842e-06,2.7483540848555127e-06,-2.133134185247523e-05,2.9630166718524812e-05,2.614464648819716,-6.941046966746356e-05,-2.6547930948097482e-05,-4.850596867196635e-05,-1.9635008814655632e-06,2.6144867886955723,-4.727059381126608e-05,-1.807993039651355e-05,-3.907083948955726e-05,2.3930241202384686e-06
GenerTeam/GENERator-v2-prokaryote-1.2b-base,GENERATOR-prokaryote-1.2b-base,GenerTeam/GENERator-v2-prokaryote-1.2b-base,8b2f768b0d293953518ff91d34600f9322ef1f94,8b2f768b0d293953518ff91d34600f9322ef1f94,decoder,genomic,GENERator-PROK,1162061824,1145153536,4,798,results/E11/raw/generator-prok-1.2b.json,0.8468514071586476,1.3942039532761663,6.219604570429286,1.9301461179918071,3.222349081478031,411;1094;1207;1619;1799,8.127733578681946,"{""corpus_meta"": {""base_seed"": 42, ""n_damage"": 100, ""n_prompt"": 96, ""n_regions_total"": 50000, ""partition_seed_used"": 42, ""repartition_tries"": 0}, ""n_windows"": 100, ""win_bp"": 512}",results/E13/raw/generator-prok-1.2b.json,8.142556710243225,0.014823131561279013,0.0018237718323049219,0.001213688710937795,0.002481882287416011,-7.029533386315734e-05,-8.648823584416378e-06,0.01489342689514217,0.0018324206558893383,4,411,8.127806429862977,7.285118103084187e-05,8.963283592602203e-06,2.3341618827575896e-07,1.7698532080650026e-05,4,1094,8.127663283348083,-7.029533386315734e-05,-8.648823584416378e-06,-2.1265451700091804e-05,2.8610552718957137e-06,4,1207,8.127681345939637,-5.223274230914399e-05,-6.4264830784001215e-06,-1.4968065169786163e-05,1.892197746888393e-06,4,1619,8.127533588409424,-0.0001999902725220437,-2.4605908964166077e-05,-4.021396941145101e-05,-1.0345579563896991e-05,4,1799,8.127553806304931,-0.00017977237701494175,-2.211838949623826e-05,-3.799560131179704e-05,-7.438919960148008e-06,8.176847944259643,0.04911436557769733,0.006042811947788043,0.005012308049143929,0.007179856271093762,-0.00013782024383601765,-1.6956786600080415e-05,0.049252185821533345,0.006059768734388123,8.127885398864747,0.00015182018280057719,1.8679276495822035e-05,6.425788043915911e-07,3.6449593357799306e-05,8.12759575843811,-0.00013782024383601765,-1.6956786600080415e-05,-4.2478988081239e-05,5.555621739305584e-06,8.12762993812561,-0.00010364055633615976,-1.275147066926459e-05,-2.9553135867057124e-05,4.222971414967055e-06,8.127317404747009,-0.00041617393493709187,-5.120418021927605e-05,-8.566759421074665e-05,-2.1109817533259796e-05,8.127382116317749,-0.00035146236419691945,-4.32423578842154e-05,-7.362758526812562e-05,-1.4697052662450194e-05
GenerTeam/GENERator-v2-prokaryote-3b-base,GENERATOR-prokaryote-3b-base,GenerTeam/GENERator-v2-prokaryote-3b-base,b18ac86df77359d894d7bc050cea78e2d0713021,b18ac86df77359d894d7bc050cea78e2d0713021,decoder,genomic,GENERator-PROK,2998262784,2972900352,8,260,results/E11/raw/generator-prok-3b.json,0.934973533990709,1.143862862462253,52.16156499457906,6.812614124053642,7.656615220640426,960;1268;1327;1440;1680,8.23783396244049,"{""corpus_meta"": {""base_seed"": 42, ""n_damage"": 100, ""n_prompt"": 96, ""n_regions_total"": 50000, ""partition_seed_used"": 42, ""repartition_tries"": 0}, ""n_windows"": 100, ""win_bp"": 512}",results/E13/raw/generator-prok-3b.json,8.249445176124572,0.011611213684082244,0.00140949838720012,0.0008128521416631068,0.0020305268089298523,-8.349418639141959e-06,-1.013545390355065e-06,0.011619563102721386,0.001410511932590475,8,960,8.237825613021851,-8.349418639141959e-06,-1.013545390355065e-06,-1.0586871962904938e-05,7.649256874360498e-06,8,1268,8.237639236450196,-0.00019472599029413118,-2.3638008629691156e-05,-3.736821306200932e-05,-1.0296277640425662e-05,8,1327,8.237992701530457,0.00015873908996688613,1.926951801779931e-05,6.113904092730307e-06,3.210691232299238e-05,8,1440,8.237886748313905,5.278587341450702e-05,6.407736991929976e-06,-2.151037606043778e-06,1.4917379323078437e-05,8,1680,8.237755160331727,-7.880210876365368e-05,-9.565877283147893e-06,-1.8441784403628333e-05,-8.214559516325167e-07,8.258442153930664,0.02060819149017412,0.002501651718659897,0.0014859998533419184,0.0035783101237705736,-1.5497207641601562e-05,-1.8812235973994377e-06,0.020623688697815723,0.002503532942257296,8.237818465232849,-1.5497207641601562e-05,-1.8812235973994377e-06,-2.0728987168655416e-05,1.5163407003051621e-05,8.237448134422301,-0.0003858280181887608,-4.683610035695084e-05,-7.623363286498446e-05,-2.0821436821045403e-05,8.238154301643371,0.00032033920288121465,3.888633885336442e-05,1.2965048192845284e-05,6.615090758626356e-05,8.237940559387207,0.00010659694671666387,1.2939924160001412e-05,-4.041014150538443e-06,3.0996006688544554e-05,8.237676305770874,-0.00015765666961620184,-1.913812178480658e-05,-3.68960720152333e-05,-1.6279677683444998e-06
EuroBERT/EuroBERT-210m,EuroBERT-210m,EuroBERT/EuroBERT-210m,39b51e15dd1f1a06f58b5cbf6a8a188cec60bd0e,39b51e15dd1f1a06f58b5cbf6a8a188cec60bd0e,encoder,text,EuroBERT,310266624,113265408,3,300,results/E11/raw/eurobert-210m.json,0.9838491163147434,1.0329040152598965,2.0419119424635404,0.13658333982428578,14.949934194686236,97;316;361;486;620,8.251931444703054,"{""batch_size"": 16, ""mask_prob"": 0.15, ""max_tokens"": 512, ""n_windows"": 256}",results/E13/raw/eurobert-210m.json,8.260132741364648,0.008201296661594526,0.0009938638870853646,0.0007873787602258269,0.001186682650108432,-4.011354481114893e-05,-4.861109799560679e-06,0.008241410206405675,0.0009987249968849252,3,97,8.249288047022866,-0.0026433976801882864,-0.00032033684451960556,-0.0003530181164436416,-0.0002876454057563472,3,316,8.250128733007443,-0.001802711695610526,-0.00021845936405199943,-0.0002739270566675534,-0.00016979079445373057,3,361,8.253627503324978,0.0016960586219241236,0.00020553474459762146,0.00017370919942340308,0.00023238356912703536,3,486,8.25271253484833,0.0007810901452760532,9.465543315649308e-05,7.164307711465427e-05,0.00011847173556074348,3,620,8.251891331158243,-4.011354481114893e-05,-4.861109799560679e-06,-2.7722629421716533e-05,1.8460577161727488e-05,8.265045176943193,0.013113732240139342,0.0015891712537865418,0.0011704618481542639,0.001960370886345331,-0.00012623527737964935,-1.5297664337805453e-05,0.013239967517518991,0.0016044689181243473,8.246747805594277,-0.005183639108777172,-0.0006281728275996003,-0.0006933992347902284,-0.0005635839319968886,8.248543973237123,-0.0033874714659312133,-0.00041050649640401993,-0.0005179200640153869,-0.00031450977061010197,8.255456591050054,0.0035251463470000743,0.00042719045481926285,0.0003652922025339281,0.0004809173540913599,8.25353149058136,0.0016000458783054228,0.0001938995602456802,0.0001480268687313613,0.0002417696009740525,8.251805209425674,-0.00012623527737964935,-1.5297664337805453e-05,-6.11430757965467e-05,3.2601237049691815e-05
EuroBERT/EuroBERT-610m,EuroBERT-610m,EuroBERT/EuroBERT-610m,d9af784ed20db6c2096e335ec6a67dd4a219924c,d9af784ed20db6c2096e335ec6a67dd4a219924c,encoder,text,EuroBERT,755625600,460123776,13,762,results/E11/raw/eurobert-610m.json,0.9996238293034937,1.0007527536463374,8.106532412548177,0.14167986124950258,57.21725262189751,47;405;830;979;1088,9.218351562100363,"{""batch_size"": 16, ""mask_prob"": 0.15, ""max_tokens"": 512, ""n_windows"": 256}",results/E13/raw/eurobert-610m.json,9.141064250808865,-0.07728731129149757,-0.008384070706225917,-0.009030477164113435,-0.00771478975302317,-6.77384393057423e-05,-7.3482160936709145e-06,-0.07721957285219183,-0.008376722490132245,13,47,9.218463460407182,0.00011189830681956892,1.2138646054639443e-05,7.2678030265575415e-06,1.7165451043633665e-05,13,405,9.218283823661057,-6.77384393057423e-05,-7.3482160936709145e-06,-1.001661893143728e-05,-4.554497291987697e-06,13,830,9.216643814101744,-0.001707747998619169,-0.00018525524733079997,-0.00019791903634731986,-0.0001723390802823944,13,979,9.219298051930405,0.0009464898300421964,0.00010267452089086335,9.298514503848844e-05,0.00011239438402089131,13,1088,9.218245658345696,-0.00010590375466712487,-1.1488361444418067e-05,-1.6983591073546722e-05,-6.71216273335766e-06,9.303343970999157,0.08499240889879367,0.009219914029773508,0.007501812838484091,0.010896448870370501,-0.0001267348233913168,-1.3748100464335167e-05,0.08511914372218499,0.009233662130237843,9.218589795593765,0.00023823349340190703,2.584339421175498e-05,1.630762226017167e-05,3.582168028366012e-05,9.218224827276972,-0.0001267348233913168,-1.3748100464335167e-05,-1.9175807005354057e-05,-8.491631184671234e-06,9.215020039787841,-0.003331522312521429,-0.0003614010910820975,-0.00038655919476035045,-0.00033608440696819434,9.22027796138869,0.0019263992883278291,0.00020897437848301233,0.00018994172840854155,0.000228793137604828,9.218154041606988,-0.00019752049337462552,-2.142687790154331e-05,-3.230161477520573e-05,-1.1590949194644487e-05
EuroBERT/EuroBERT-2.1B,EuroBERT-2.1B,EuroBERT/EuroBERT-2.1B,81245a4d71f43452badf5e04458e4ddb831ff109,81245a4d71f43452badf5e04458e4ddb831ff109,encoder,text,EuroBERT,2403092736,1812089088,14,2198,results/E11/raw/eurobert-2.1b.json,0.9977414719034632,1.0045322505182814,2.750915946112038,0.13166230468278498,20.893724690144545,560;1905;1946;2212;2286,8.12560979581756,"{""batch_size"": 16, ""mask_prob"": 0.15, ""max_tokens"": 512, ""n_windows"": 256}",results/E13/raw/eurobert-2.1b.json,8.125295081829634,-0.00031471398792604077,-3.873112244302346e-05,-9.826940263025245e-05,2.695410113053343e-05,8.51725951456217e-05,1.0481994248537753e-05,-0.00039988658307166247,-4.921311669156121e-05,14,560,8.125606099177068,-3.696640492378833e-06,-4.549369936865021e-07,-2.0986550820822925e-06,1.1552139186721603e-06,14,1905,8.12575106742992,0.00014127161236032748,1.738597051916562e-05,1.5239403034915291e-05,1.95120835233699e-05,14,1946,8.125585368017546,-2.4427800013882006e-05,-3.006272837080555e-06,-7.464842451777227e-06,1.1617544843452425e-06,14,2212,8.125694968412706,8.51725951456217e-05,1.0481994248537753e-05,4.47813231392885e-06,1.633031219589667e-05,14,2286,8.125773846728093,0.00016405091053250942,2.0189366048188806e-05,1.7444167895295395e-05,2.2334763588875852e-05,8.124642974464807,-0.0009668213527529446,-0.00011898446726430181,-0.00021876490059912862,-1.0343492504527748e-05,0.00019352412527595675,2.3816566404107678e-05,-0.0011603454780289013,-0.0001428010336684095,8.12560694840529,-2.8474122704125193e-06,-3.504244409912655e-07,-3.791025017299956e-06,2.858587613248993e-06,8.125895985728171,0.00028618991061080123,3.522073023468464e-05,3.08706570871416e-05,3.9435288110339735e-05,8.125567734043301,-4.206177425913893e-05,-5.176445253473666e-06,-1.4481758495578145e-05,3.3521662383086546e-06,8.125803319942836,0.00019352412527595675,2.3816566404107678e-05,1.1857706512107883e-05,3.5310668476353616e-05,8.125947039330656,0.0003372435130959417,4.150377898647419e-05,3.618347685888224e-05,4.597301959660407e-05
answerdotai/ModernBERT-large,ModernBERT-large,answerdotai/ModernBERT-large,45bb4654a4d5aaff24dd11d4781fa46d39bf8c13,45bb4654a4d5aaff24dd11d4781fa46d39bf8c13,encoder,text,ModernBERT,395881664,344253440,19,379,results/E11/raw/modernbert-large.json,0.9701337490592797,1.0621492362619986,708.1322939648359,26.645597736876592,26.575958286152655,144;154;374;841;940,1.223925887615726,"{""batch_size"": 16, ""mask_prob"": 0.15, ""max_tokens"": 512, ""n_windows"": 256}",results/E13/raw/modernbert-large.json,1.3229442383313044,0.09901835071557841,0.08090224393281813,0.07179968578369442,0.09009900121386606,-5.70620835471658e-06,-4.662217224469844e-06,0.09902405692393312,0.08090690615004259,19,144,1.2239279148213256,2.0272055996084504e-06,1.6563140138800046e-06,-6.425031793996483e-05,7.282650172486224e-05,19,154,1.2238908244670201,-3.5063148705827274e-05,-2.864809794499256e-05,-0.0001041879967618631,4.4537735069649996e-05,19,374,1.2239201814073712,-5.70620835471658e-06,-4.662217224469844e-06,-7.155036929151423e-05,6.260766487990593e-05,19,841,1.2238033230154408,-0.0001225646002851466,-0.00010014054080015342,-0.0001575798571850008,-4.205410670962516e-05,19,940,1.2239451272985007,1.923968277472987e-05,1.5719646891536723e-05,-4.670707507604963e-05,7.875479587345114e-05,3.924698271719631,2.700772384103905,2.2066469967108513,2.118489576152036,2.297794205718422,1.3151809168387985e-05,1.0745592769516807e-05,2.7007592322947365,2.206636251118082,1.2239469605430708,2.1072927344878423e-05,1.721748641654245e-05,-0.00011738277778220841,0.00015358816324920028,1.2238785736381184,-4.7313977607599256e-05,-3.865755115268413e-05,-0.00018679296982250683,0.00011100151139402339,1.2239390394248943,1.3151809168387985e-05,1.0745592769516807e-05,-0.00012147923633862759,0.00013875653247872902,1.2237041713884707,-0.0002217162272553086,-0.0001811516771552433,-0.00028998043929735014,-5.9694436564467724e-05,1.2239851145546354,5.92269389094735e-05,4.8390952024759275e-05,-7.397933770635135e-05,0.0001793290100141421
