model,domain,architecture,total_params,layer,row,epsilon,baseline_loss,perturbed_loss,relative_loss_change,relative_ci95_low,relative_ci95_high,q1,frob_ratio_to_layer_median
Llama-7B,text,decoder,6738417664,2,3968,0.5,2.2452528551553326,2.331809344804917,0.03855088724231734,0.0364189868726007,0.04092389919047479,0.9888168037615727,29.40138041715147
Llama-7B,text,decoder,6738417664,2,3968,1.0,2.2452528551553326,8.998851287304305,3.007945593585156,2.9369114630775157,3.0840393943509667,0.9888168037615727,29.40138041715147
Mistral-7B,text,decoder,7241732096,1,2070,0.5,2.207224828193799,8.859335746391878,3.013789457796915,2.932549787641434,3.0959455951425787,0.9922047361077938,26.83185497075223
Mistral-7B,text,decoder,7241732096,1,2070,1.0,2.207224828193799,8.545254097358121,2.871492377308394,2.798798262184707,2.9513578256428548,0.9922047361077938,26.83185497075223
OLMo-7B-0724-hf,text,decoder,6888095744,1,269,0.5,2.4953157010610325,2.5110063753669274,0.006288051768048048,0.005398174873445165,0.007198394986122934,0.964564665808712,39.201088887877
OLMo-7B-0724-hf,text,decoder,6888095744,1,269,1.0,2.4953157010610325,5.284474930436644,1.1177580569022323,1.06115035576345,1.1763996986833076,0.964564665808712,39.201088887877
Qwen2.5-7B,text,decoder,7615616512,26,458,0.5,2.448377902932363,2.463066807577055,0.005999443397646881,0.0055606032246603215,0.00642426382397685,0.9529104185966117,9.28343928087795
Qwen2.5-7B,text,decoder,7615616512,26,458,1.0,2.448377902932363,2.4664483033420987,0.0073805601611145735,0.006781054632485803,0.007968708552834472,0.9529104185966117,9.28343928087795
MosaicBERT,text,encoder,137400384,9,287,0.5,2.7671481196541836,2.76234717122229,-0.0017349806458838244,-0.002241310395933119,-0.0012571431678653708,0.4765682244123624,5.049000470198418
MosaicBERT,text,encoder,137400384,9,287,1.0,2.7671481196541836,2.7775032235071757,0.003742157414503058,0.0028434660638321195,0.004636148279299672,0.4765682244123624,5.049000470198418
ModernBERT-base,text,encoder,149655232,15,251,0.5,1.52405771854778,1.6905810959824288,0.10926316989708436,0.10111933395258395,0.11711730402113898,0.8969889514776379,23.548648733071218
ModernBERT-base,text,encoder,149655232,15,251,1.0,1.52405771854778,6.965614838944772,3.570440314807799,3.4777132643830533,3.6702696047326904,0.8969889514776379,23.548648733071218
NTv3,genomic,encoder,651829819,11,1472,0.5,1.1444061123196168,1.1387057800343836,-0.004981039705982557,-0.006946986320810988,-0.0028872463830030147,0.38889396751753286,3.612997884175097
NTv3,genomic,encoder,651829819,11,1472,1.0,1.1444061123196168,1.1353088084435217,-0.007949366731059835,-0.011857754572508752,-0.004142335000732689,0.38889396751753286,3.612997884175097
DNABERT-2,genomic,encoder,117074176,5,603,0.5,4.695280693847892,4.709867478059485,0.003106690560738079,0.0014604033589265127,0.005065319299870445,0.7933113982887636,5.018335080977002
DNABERT-2,genomic,encoder,117074176,5,603,1.0,4.695280693847892,4.7342297911991995,0.008295371435906092,0.00567776581894784,0.011484139295402299,0.7933113982887636,5.018335080977002
GENERator-EUK-3B,genomic,decoder,2998262784,4,2371,0.5,6.38538052380085,6.659344129562378,0.04290482058827287,0.033733681417347845,0.05404664984043458,0.9688691252375834,12.244005701455277
GENERator-EUK-3B,genomic,decoder,2998262784,4,2371,1.0,6.38538052380085,8.754319605827332,0.3709941910582313,0.33584090104894765,0.4125371824476298,0.9688691252375834,12.244005701455277
GenomeOcean-4B,genomic,decoder,4253174784,1,2604,0.5,5.258974985957734,5.281371209197428,0.0042586670025043395,0.00312960827816901,0.005554653910832048,0.8989077166811766,19.50444951690311
GenomeOcean-4B,genomic,decoder,4253174784,1,2604,1.0,5.258974985957734,5.299159477690169,0.007641126234624247,0.005742304574306677,0.009938488573542193,0.8989077166811766,19.50444951690311
Qwen/Qwen2.5-0.5B,text,decoder,494032768,21,62,0.5,3.1279006390655577,3.1440530783696183,0.005163987341006483,0.004757193531191201,0.005590703259716082,0.9981566830594912,30.623268771468037
Qwen/Qwen2.5-0.5B,text,decoder,494032768,21,62,1.0,3.1279006390655577,3.145279352296355,0.005556031100779856,0.005156171135172713,0.0059805067465599025,0.9981566830594912,30.623268771468037
Qwen/Qwen2.5-1.5B,text,decoder,1543714304,26,408,0.5,2.7555732479207435,2.7720830594116928,0.005991425378877851,0.00529860510957706,0.006717235972304664,0.9950986414892103,22.28607583079485
Qwen/Qwen2.5-1.5B,text,decoder,1543714304,26,408,1.0,2.7555732479207435,2.7734308112157535,0.006480525715832325,0.005769423092791129,0.007184987427703715,0.9950986414892103,22.28607583079485
Qwen/Qwen2.5-3B,text,decoder,3085938688,30,318,0.5,2.611140428158635,2.6643236014707683,0.02036779513602715,0.01935145109596986,0.021379115323118227,0.8173600221565082,8.318105315988955
Qwen/Qwen2.5-3B,text,decoder,3085938688,30,318,1.0,2.611140428158635,2.694057712741561,0.03175519925651747,0.02994176562796433,0.03375019424230702,0.8173600221565082,8.318105315988955
HuggingFaceTB/SmolLM2-135M,text,decoder,134515008,11,507,0.5,3.3001462359344425,3.4249193905944226,0.03780837142953165,0.03553572545937581,0.04022210639669096,0.9243918826993042,12.47718017297001
HuggingFaceTB/SmolLM2-135M,text,decoder,134515008,11,507,1.0,3.3001462359344425,13.643382995963796,3.1341752821146263,3.095335193166447,3.1734353688080112,0.9243918826993042,12.47718017297001
HuggingFaceTB/SmolLM2-360M,text,decoder,361821120,3,87,0.5,2.992406347465142,3.0602768201137476,0.022680901177107363,0.021620257310486557,0.0239806577925057,0.9742504779226046,22.37669908683808
HuggingFaceTB/SmolLM2-360M,text,decoder,361821120,3,87,1.0,2.992406347465142,4.762548465019569,0.5915447008237732,0.3593590653264605,0.8433966699627629,0.9742504779226046,22.37669908683808
HuggingFaceTB/SmolLM2-1.7B,text,decoder,1711376384,7,227,0.5,2.6145340592893835,2.716646664016634,0.03905575617362741,0.037077223873462926,0.04129755347185535,0.9663919138439745,15.535443754242134
HuggingFaceTB/SmolLM2-1.7B,text,decoder,1711376384,7,227,1.0,2.6145340592893835,20.886828828277885,6.988738472947954,6.6808757015606,7.27035454794628,0.9663919138439745,15.535443754242134
GenerTeam/GENERator-v2-prokaryote-1.2b-base,genomic,decoder,1162061824,4,798,0.5,8.127733578681946,8.142556710243225,0.0018237718323049219,0.001213688710937795,0.002481882287416011,0.8468514071586476,3.222349081478031
GenerTeam/GENERator-v2-prokaryote-1.2b-base,genomic,decoder,1162061824,4,798,1.0,8.127733578681946,8.176847944259643,0.006042811947788043,0.005012308049143929,0.007179856271093762,0.8468514071586476,3.222349081478031
GenerTeam/GENERator-v2-prokaryote-3b-base,genomic,decoder,2998262784,8,260,0.5,8.23783396244049,8.249445176124572,0.00140949838720012,0.0008128521416631068,0.0020305268089298523,0.934973533990709,7.656615220640426
GenerTeam/GENERator-v2-prokaryote-3b-base,genomic,decoder,2998262784,8,260,1.0,8.23783396244049,8.258442153930664,0.002501651718659897,0.0014859998533419184,0.0035783101237705736,0.934973533990709,7.656615220640426
EuroBERT/EuroBERT-210m,text,encoder,310266624,3,300,0.5,8.251931444703054,8.260132741364648,0.0009938638870853646,0.0007873787602258269,0.001186682650108432,0.9838491163147434,14.949934194686236
EuroBERT/EuroBERT-210m,text,encoder,310266624,3,300,1.0,8.251931444703054,8.265045176943193,0.0015891712537865418,0.0011704618481542639,0.001960370886345331,0.9838491163147434,14.949934194686236
EuroBERT/EuroBERT-610m,text,encoder,755625600,13,762,0.5,9.218351562100363,9.141064250808865,-0.008384070706225917,-0.009030477164113435,-0.00771478975302317,0.9996238293034937,57.21725262189751
EuroBERT/EuroBERT-610m,text,encoder,755625600,13,762,1.0,9.218351562100363,9.303343970999157,0.009219914029773508,0.007501812838484091,0.010896448870370501,0.9996238293034937,57.21725262189751
EuroBERT/EuroBERT-2.1B,text,encoder,2403092736,14,2198,0.5,8.12560979581756,8.125295081829634,-3.873112244302346e-05,-9.826940263025245e-05,2.695410113053343e-05,0.9977414719034632,20.893724690144545
EuroBERT/EuroBERT-2.1B,text,encoder,2403092736,14,2198,1.0,8.12560979581756,8.124642974464807,-0.00011898446726430181,-0.00021876490059912862,-1.0343492504527748e-05,0.9977414719034632,20.893724690144545
answerdotai/ModernBERT-large,text,encoder,395881664,19,379,0.5,1.223925887615726,1.3229442383313044,0.08090224393281813,0.07179968578369442,0.09009900121386606,0.9701337490592797,26.575958286152655
answerdotai/ModernBERT-large,text,encoder,395881664,19,379,1.0,1.223925887615726,3.924698271719631,2.2066469967108513,2.118489576152036,2.297794205718422,0.9701337490592797,26.575958286152655
