cell,attention_requested,attention_runtime,preprocessing,input_tokens,target_activation_max,target_detector_ratio,target_ratio_rank,target_activation_rank,target_passes_ratio5,k,global_ratio_layer,global_ratio_row,global_ratio,global_activation_layer,global_activation_row,global_activation,structural_q1,structural_pr_spec,structural_frob_norm,structural_stable_rank
historical_default_specials,default,eager PyTorch fallback,historical_special_tokens,116,944.5556030273438,152.73454825386017,8,1,True,89,8,603,302.02196742913384,5,603,944.5556030273438,0.7933113982887914,1.5032876981172383,74.00855774609174,1.2605390545970288
current_eager_no_specials,eager,eager PyTorch fallback,e13_no_special_tokens,114,0.5731383562088013,0.9993935457679628,4628,2749,False,12,2,641,31.235681104433358,1,603,10.42054557800293,0.7933113982887914,1.5032876981172383,74.00855774609174,1.2605390545970288
eager_specials,eager,eager PyTorch fallback,historical_special_tokens,116,944.5556030273438,152.73454825386017,8,1,True,89,8,603,302.02196742913384,5,603,944.5556030273438,0.7933113982887914,1.5032876981172383,74.00855774609174,1.2605390545970288
default_no_specials,default,eager PyTorch fallback,e13_no_special_tokens,114,0.5731383562088013,0.9993935457679628,4628,2749,False,12,2,641,31.235681104433358,1,603,10.42054557800293,0.7933113982887914,1.5032876981172383,74.00855774609174,1.2605390545970288
