layer,row,historical_activation,current_activation,activation_fold_historical_over_current,historical_ratio,current_ratio,historical_ratio_rank,current_ratio_rank,historical_activation_rank,current_activation_rank,historical_passes,current_passes
5,603,944.5556030273438,0.5731383562088013,1648.041162827411,152.73454825386017,0.9993935457679628,8,4628,1,2749,True,False
3,86,732.0044555664062,0.9080427885055542,806.1343196955843,77.61950679259658,0.8405349301538168,14,7258,2,1365,True,False
3,399,703.0081787109375,1.5716593265533447,447.30315713688236,74.5448305509041,1.454815322573348,15,631,4,139,True,False
9,264,716.8916015625,0.355108380317688,2018.796630260183,241.8454675329,1.175473747451101,3,2299,3,5031,True,False
9,294,681.5460205078125,2.1304595470428467,319.9056379426789,229.92153292861425,7.0522111173919,4,7,5,18,True,True
3,603,618.130859375,0.9203614592552185,671.6174967552512,65.54469999891796,0.8519377772324196,17,7098,6,1317,True,False
3,641,413.516357421875,6.602236270904541,62.6327717540501,43.84800593723332,6.111397252498306,24,11,10,4,True,True
7,603,301.5283508300781,0.5286335349082947,570.3920219181443,293.64189988650907,2.156365445510221,2,58,12,2939,True,False
6,603,501.2041015625,0.6762776374816895,741.1218023249664,180.9135295060753,2.4133615252386575,7,41,9,2372,True,False
5,86,378.0674133300781,0.5693257451057434,664.0616845104344,61.13346360913312,0.9927454146707463,19,4739,11,2769,True,False
