model,layer,row,q1,pr_spec,frob_norm
Qwen/Qwen2.5-0.5B,21,196,0.020779069698598558,250.49929633434945,0.656435521844999
Qwen/Qwen2.5-0.5B,21,444,0.0273435113016163,233.36549837528332,0.632509667504553
Qwen/Qwen2.5-0.5B,21,520,0.019476790348757125,265.59042711227835,0.5686688548386324
Qwen/Qwen2.5-0.5B,21,815,0.050076343357488506,171.97268083464684,0.5865169025527616
Qwen/Qwen2.5-0.5B,21,818,0.030619029219367072,230.1050196259423,0.6115151144957984
Qwen/Qwen2.5-1.5B,26,71,0.028391040457566165,371.91017571677986,3.738535464074208
Qwen/Qwen2.5-1.5B,26,114,0.025918277213761737,372.52715191155005,3.8898088808637614
Qwen/Qwen2.5-1.5B,26,279,0.009553010436888899,505.07773004373695,4.004298275707696
Qwen/Qwen2.5-1.5B,26,717,0.014422886491389692,470.48560230883874,3.730166365392092
Qwen/Qwen2.5-1.5B,26,1008,0.012456636698437143,454.52015892949026,3.946581552176067
Qwen/Qwen2.5-3B,30,145,0.011000696867174533,635.6611543317011,4.556944867725429
Qwen/Qwen2.5-3B,30,218,0.011501303842802015,626.5787180005531,4.564922774140049
Qwen/Qwen2.5-3B,30,1437,0.011373294032780106,621.3471690095703,4.6273909391421375
Qwen/Qwen2.5-3B,30,1453,0.011733943760059167,636.2201830637428,4.337426685539535
Qwen/Qwen2.5-3B,30,1579,0.09020817137855418,86.24053724659319,2.6733301019419655
HuggingFaceTB/SmolLM2-135M,11,66,0.026756453978158307,143.76189394238176,151.17657932981382
HuggingFaceTB/SmolLM2-135M,11,436,0.04373514322701722,117.77981655027526,163.49381628729913
HuggingFaceTB/SmolLM2-135M,11,514,0.03942907953994088,134.9656027059103,167.1506891849431
HuggingFaceTB/SmolLM2-135M,11,529,0.034721224103136585,135.0231533446548,160.53284229581737
HuggingFaceTB/SmolLM2-135M,11,558,0.03898734449633432,131.62196820994222,157.53016234302223
HuggingFaceTB/SmolLM2-360M,3,16,0.012804239737699294,280.21807702485734,256.5163476674804
HuggingFaceTB/SmolLM2-360M,3,337,0.019292654937681272,258.0271262222492,256.2331011718915
HuggingFaceTB/SmolLM2-360M,3,782,0.015836807438479462,274.18288477754015,250.5267310884381
HuggingFaceTB/SmolLM2-360M,3,913,0.019525194729250166,237.69716352050798,254.39390864147404
HuggingFaceTB/SmolLM2-360M,3,951,0.01558441454799738,271.6773743303964,246.9495395324083
HuggingFaceTB/SmolLM2-1.7B,7,150,0.013305137530174614,595.9474211833416,253.6653488624343
HuggingFaceTB/SmolLM2-1.7B,7,464,0.013202826336233563,590.2733665453738,253.1665097121866
