model,display_model,architecture,domain,epsilon,kind,control_index,layer,row,baseline_loss,perturbed_loss,absolute_delta_loss,relative_loss_change
Qwen2.5-7B,Qwen2.5-7B,decoder,text,0.5,control,5,26,3553,2.448377902932363,2.448370564380504,-7.338551859081832e-06,-2.9973117508913253e-06
Qwen2.5-7B,Qwen2.5-7B,decoder,text,0.5,candidate,,26,458,2.448377902932363,2.463066807577055,0.01468890464469208,0.005999443397646881
Qwen2.5-7B,Qwen2.5-7B,decoder,text,1.0,control,1,26,62,2.448377902932363,2.448429492569716,5.158963735318878e-05,2.107094549881418e-05
Qwen2.5-7B,Qwen2.5-7B,decoder,text,1.0,control,2,26,1257,2.448377902932363,2.4483502591426127,-2.7643789750175785e-05,-1.1290654811525414e-05
Qwen2.5-7B,Qwen2.5-7B,decoder,text,1.0,control,3,26,2926,2.448377902932363,2.448339729085127,-3.817384723570072e-05,-1.5591484954173465e-05
Qwen2.5-7B,Qwen2.5-7B,decoder,text,1.0,control,4,26,3419,2.448377902932363,2.4484341556078766,5.6252675513679407e-05,2.2975487340539603e-05
Qwen2.5-7B,Qwen2.5-7B,decoder,text,1.0,control,5,26,3553,2.448377902932363,2.448376765839041,-1.1370933217236256e-06,-4.6442721132295654e-07
Qwen2.5-7B,Qwen2.5-7B,decoder,text,1.0,candidate,,26,458,2.448377902932363,2.4664483033420987,0.018070400409735843,0.0073805601611145735
MosaicBERT,MosaicBERT,encoder,text,0.5,control,1,9,56,2.7671481196541836,2.7671576925695156,9.572915331990117e-06,3.4594878618880962e-06
MosaicBERT,MosaicBERT,encoder,text,0.5,control,2,9,173,2.7671481196541836,2.7669591890977383,-0.00018893055644531032,-6.827627155315465e-05
MosaicBERT,MosaicBERT,encoder,text,0.5,control,3,9,193,2.7671481196541836,2.767014073812308,-0.00013404584187570734,-4.8441874478500753e-05
MosaicBERT,MosaicBERT,encoder,text,0.5,control,4,9,517,2.7671481196541836,2.767080345916357,-6.777373782673735e-05,-2.449226962061112e-05
MosaicBERT,MosaicBERT,encoder,text,0.5,control,5,9,545,2.7671481196541836,2.7673886063036583,0.00024048664947473597,8.69077617373045e-05
MosaicBERT,MosaicBERT,encoder,text,0.5,candidate,,9,287,2.7671481196541836,2.76234717122229,-0.004800948431893826,-0.0017349806458838244
MosaicBERT,MosaicBERT,encoder,text,1.0,control,1,9,56,2.7671481196541836,2.767262631743337,0.0001145120891532514,4.138271035797036e-05
MosaicBERT,MosaicBERT,encoder,text,1.0,control,2,9,173,2.7671481196541836,2.7668476802761406,-0.000300439378043027,-0.00010857365238568204
MosaicBERT,MosaicBERT,encoder,text,1.0,control,3,9,193,2.7671481196541836,2.7669484649298437,-0.00019965472433991494,-7.215180239967285e-05
MosaicBERT,MosaicBERT,encoder,text,1.0,control,4,9,517,2.7671481196541836,2.767103708835213,-4.441081897077481e-05,-1.6049310355068717e-05
MosaicBERT,MosaicBERT,encoder,text,1.0,control,5,9,545,2.7671481196541836,2.767751626269381,0.0006035066151972579,0.0002180969681061668
