model_id	slug	domain	architecture	candidate_layer	candidate_row	activation_max	activation_ratio	ratio_median_24	ratio_cv_24	rank_median_24	frac_rank1	max_position_at_0_fraction	q1	layer_relative_frobenius	R_cand_eps0.5	R_cand_eps1.0	G_eps0.5	G_eps1.0	endpoint_type	baseline_loss
Llama-7B	llama	text	decoder	2	3968	1312.5889892578125	4012.5741379477513	4014.2263260623854	0.005174281590996205	1.0	1.0	1.0	0.9888168037615727	29.40138041715147	0.03855088724231734	3.007945593585156	0.03854803371080845	3.0079367925364453	causal_LM_NLL	2.2452528551553326
Mistral-7B	mistral	text	decoder	1	2070	308.39774322509766	1742.7855015665755	1733.4413060746206	0.02296232702957626	1.0	1.0	0.0	0.9922047361077938	26.83185497075223	3.013789457796915	2.871492377308394	3.013787745618323	2.871487355495076	causal_LM_NLL	2.207224828193799
OLMo-7B-0724-hf	olmo	text	decoder	1	269	360.54063669840497	2334.5576711987965	2334.8053789343376	0.03247211160837499	1.0	1.0	1.0	0.964564665808712	39.201088887877	0.006288051768048048	1.1177580569022323	0.006291973009680158	1.1177654513530053	causal_LM_NLL	2.4953157010610325
Qwen2.5-7B	qwen25-7b	text	decoder	26	458	8715.02197265625	634.9692822227634	636.1217418831033	0.03033563428929283	1.0	1.0	0.875	0.9529104185966117	9.28343928087795	0.005999443397646881	0.0073805601611145735	0.006002440709397772	0.007381024588325897	causal_LM_NLL	2.448377902932363
MosaicBERT	mosaicbert	text	encoder	9	287	1.3529467582702637	10.421505545183182	10.421505545183182	0.0	1.0	1.0	0.0	0.4765682244123624	5.049000470198418	-0.0017349806458838244	0.003742157414503058	-0.0017104883762632133	0.0037582067248581267	MLM	2.7671481196541836
ModernBERT-base	modernbert-base	text	encoder	15	251	31040.822509765625	711.537430962357	714.279611898176	0.059158515010448734	1.0	1.0	0.0	0.8969889514776379	23.548648733071218	0.10926316989708436	3.570440314807799	0.10924931019771256	3.570375462417107	MLM	1.52405771854778
NTv3	ntv3	genomic	encoder	11	1472	1771.196797688802	121.86181719223082	101.41482115811172	0.5723528411679405	1.0	1.0	0.041666666666666664	0.38889396751753286	3.612997884175097	-0.004981039705982557	-0.007949366731059835	-0.004980184220648604	-0.007947663656522112	MLM	1.1444061123196168
DNABERT-2	dnabert2	genomic	encoder	5	603	158.62844848632812	155.7887049806258	155.7887049806258	0.0	1.0	1.0	1.0	0.7933113982887636	5.018335080977002	0.003106690560738079	0.008295371435906092	0.0031053386799749145	0.008284782252515204	MLM	4.695280693847892
GENERator-EUK-3B	generator-euk-3b	genomic	decoder	4	2371	375361.3125	7124.084927150937	7124.084927150937	0.0	1.0	1.0	1.0	0.9688691252375834	12.244005701455277	0.04290482058827287	0.3709941910582313	0.04289761002286785	0.3709751342038996	causal_LM_NLL	6.38538052380085
GenomeOcean-4B	genomeocean-4b	genomic	decoder	1	2604	97.87730471293132	1089.3601021720417	1086.920813697369	0.011972193501450349	1.0	1.0	1.0	0.8989077166811766	19.50444951690311	0.0042586670025043395	0.007641126234624247	0.004265294142870334	0.0076541821927254465	causal_LM_NLL	5.258974985957734
