model,layer,candidate_row,d_model,candidate_norm,layer_median_norm,layer_max_norm,candidate_rank,candidate_percentile,n_rows_within_10pct,n_rows_within_20pct,control_rows,control_rows_within_20pct,load_seconds,compute_seconds,device,dtype
HuggingFaceTB/SmolLM2-135M,11,507,576,2002.997197003414,160.1367913938857,2002.997197003414,1,100.0,0,0,66;436;514;529;558,,187.80343389511108,1.2517180442810059,cuda,float32
Qwen/Qwen2.5-0.5B,21,62,896,18.72659170901674,0.5904964978142284,18.72659170901674,1,100.0,0,0,196;444;520;815;818,,92.46228551864624,0.22031521797180176,cuda,float32
HuggingFaceTB/SmolLM2-360M,3,87,960,5692.495943193812,252.40556929795804,5692.495943193812,1,100.0,0,0,16;337;782;913;951,,62.44272470474243,0.014264822006225586,cuda,float32
