model_id,hf_repo,hf_revision,domain,architecture,n_nonembedding_params,candidate_layer,candidate_row,selection_statistic_used,activation_ratio,activation_max,q1,PR_spec,frobenius_norm,layer_relative_frobenius,endpoint_type,n_eval_units,batch_size,baseline_loss,R_cand_eps0.5,R_cand_eps1.0,control_1_row,control_2_row,control_3_row,control_4_row,control_5_row,R_ctrl1_eps0.5,R_ctrl2_eps0.5,R_ctrl3_eps0.5,R_ctrl4_eps0.5,R_ctrl5_eps0.5,R_ctrl1_eps1.0,R_ctrl2_eps1.0,R_ctrl3_eps1.0,R_ctrl4_eps1.0,R_ctrl5_eps1.0,median_control_eps0.5,median_control_eps1.0,G_eps0.5,G_eps1.0,control_seed_stream,source_file,git_commit,obtained_via
Qwen/Qwen2.5-1.5B,Qwen/Qwen2.5-1.5B,8faed761d45a263340a0528343f099c05c9a4323,text,decoder,1310340608,26,408,,,,0.9950986414892103,1.0098722524248653,86.68857568622904,22.28607583079485,causal_LM_NLL,100,8,2.7555732479207435,0.005991425378877851,0.006480525715832325,443,571,930,1118,1343,1.8198308128905015e-05,-1.6870192272531205e-05,8.218367047060414e-07,9.896717111325504e-06,2.583410738571613e-05,4.837740028680047e-05,-1.8260726106351147e-05,1.7279376792383317e-05,2.832389115790904e-05,6.795930691855483e-05,9.896717111325504e-06,2.832389115790904e-05,0.005981528661766525,0.006452201824674416,SeedSequence(42).spawn(23)[12],results/E13/part2_22_model_results.csv,UNTRACKED (results/ gitignored; see audit/provenance.json for mtime/sha256),STORED
Qwen/Qwen2.5-3B,Qwen/Qwen2.5-3B,3aab1f1954e9cc14eb9509a215f9e5ca08227a9b,text,decoder,2774773760,30,318,,,,0.8173600221565082,1.4393617425532852,37.905147328895474,8.318105315988955,causal_LM_NLL,100,4,2.611140428158635,0.02036779513602715,0.03175519925651747,94,128,147,668,1146,1.3108243494329004e-05,-2.481490763137478e-05,1.7561825943497115e-05,-6.7846687433275386e-06,1.6109013920305393e-05,3.21924115075715e-05,-4.175828210896342e-05,4.210593234122148e-05,-6.290639465908206e-06,3.8080508599286175e-05,1.3108243494329004e-05,3.21924115075715e-05,0.02035468689253282,0.0317230068450099,SeedSequence(42).spawn(23)[13],results/E13/part2_22_model_results.csv,UNTRACKED (results/ gitignored; see audit/provenance.json for mtime/sha256),STORED
HuggingFaceTB/SmolLM2-135M,HuggingFaceTB/SmolLM2-135M,93efa2f097d58c2a74874c7e644dbc9b0cee75a2,text,decoder,106203456,11,507,,,,0.9243918826993042,1.169251561735028,2002.997197003894,12.47718017297001,causal_LM_NLL,100,8,3.3001462359344425,0.03780837142953165,3.1341752821146263,294,320,402,441,448,-3.1638574361431237e-05,-4.6686224307102264e-05,4.3593884468241926e-05,6.740605940561505e-06,1.3750488664856847e-05,-3.804620363410262e-05,-7.50384637274596e-05,0.0001183920259048394,4.040309935367159e-05,5.3594766306212044e-05,6.740605940561505e-06,4.040309935367159e-05,0.03780163082359109,3.1341348790152725,SeedSequence(42).spawn(23)[14],results/E13/part2_22_model_results.csv,UNTRACKED (results/ gitignored; see audit/provenance.json for mtime/sha256),STORED
HuggingFaceTB/SmolLM2-360M,HuggingFaceTB/SmolLM2-360M,f8027fd0eaeea54caa13c31d31b9fdc459c38b49,text,decoder,314635200,3,87,,,,0.9742504779226046,1.0535466426798263,5692.495943194842,22.37669908683808,causal_LM_NLL,100,8,2.992406347465142,0.022680901177107363,0.5915447008237732,238,258,338,577,934,1.3331685505027129e-05,1.9309389760267522e-05,-8.857986967881517e-06,1.0505687499059314e-06,0.00011752639162009029,3.85740744674044e-05,4.798768138201671e-05,5.045284574301409e-06,1.371167845723128e-05,0.00025465275584639097,1.3331685505027129e-05,3.85740744674044e-05,0.022667569491602337,0.5915061267493058,SeedSequence(42).spawn(23)[15],results/E13/part2_22_model_results.csv,UNTRACKED (results/ gitignored; see audit/provenance.json for mtime/sha256),STORED
HuggingFaceTB/SmolLM2-1.7B,HuggingFaceTB/SmolLM2-1.7B,effd688a12921b4cc83e3312b6feb579f70f9c71,text,decoder,1610713088,7,227,,,,0.9663919138439745,1.0707002949326883,3922.6019896226653,15.535443754242134,causal_LM_NLL,100,8,2.6145340592893835,0.03905575617362741,6.988738472947954,317,582,1422,1547,2043,-6.545614582564039e-06,4.55013409000985e-06,-8.369322943997335e-07,-1.5832273797833984e-05,-1.188151480073741e-05,-8.076944850709427e-06,1.3876995293121746e-05,2.7483540848555127e-06,-2.6547930948097482e-05,-1.807993039651355e-05,-6.545614582564039e-06,-8.076944850709427e-06,0.03906230178820997,6.988746549892805,SeedSequence(42).spawn(23)[16],results/E13/part2_22_model_results.csv,UNTRACKED (results/ gitignored; see audit/provenance.json for mtime/sha256),STORED
GenerTeam/GENERator-v2-prokaryote-1.2b-base,GenerTeam/GENERator-v2-prokaryote-1.2b-base,8b2f768b0d293953518ff91d34600f9322ef1f94,genomic,decoder,1145153536,4,798,,,,0.8468514071586476,1.3942039532761663,6.219604570429286,3.222349081478031,causal_LM_NLL,100,,8.127733578681946,0.0018237718323049219,0.006042811947788043,411,1094,1207,1619,1799,8.963283592602203e-06,-8.648823584416378e-06,-6.4264830784001215e-06,-2.4605908964166077e-05,-2.211838949623826e-05,1.8679276495822035e-05,-1.6956786600080415e-05,-1.275147066926459e-05,-5.120418021927605e-05,-4.32423578842154e-05,-8.648823584416378e-06,-1.6956786600080415e-05,0.0018324206558893383,0.006059768734388123,SeedSequence(42).spawn(23)[17],results/E13/part2_22_model_results.csv,UNTRACKED (results/ gitignored; see audit/provenance.json for mtime/sha256),STORED
GenerTeam/GENERator-v2-prokaryote-3b-base,GenerTeam/GENERator-v2-prokaryote-3b-base,b18ac86df77359d894d7bc050cea78e2d0713021,genomic,decoder,2972900352,8,260,,,,0.934973533990709,1.143862862462253,52.16156499457906,7.656615220640426,causal_LM_NLL,100,,8.23783396244049,0.00140949838720012,0.002501651718659897,960,1268,1327,1440,1680,-1.013545390355065e-06,-2.3638008629691156e-05,1.926951801779931e-05,6.407736991929976e-06,-9.565877283147893e-06,-1.8812235973994377e-06,-4.683610035695084e-05,3.888633885336442e-05,1.2939924160001412e-05,-1.913812178480658e-05,-1.013545390355065e-06,-1.8812235973994377e-06,0.001410511932590475,0.002503532942257296,SeedSequence(42).spawn(23)[18],results/E13/part2_22_model_results.csv,UNTRACKED (results/ gitignored; see audit/provenance.json for mtime/sha256),STORED
EuroBERT/EuroBERT-210m,EuroBERT/EuroBERT-210m,39b51e15dd1f1a06f58b5cbf6a8a188cec60bd0e,text,encoder,113265408,3,300,,,,0.9838491163147434,1.0329040152598965,2.0419119424635404,14.949934194686236,MLM,256,16,8.251931444703054,0.0009938638870853646,0.0015891712537865418,97,316,361,486,620,-0.00032033684451960556,-0.00021845936405199943,0.00020553474459762146,9.465543315649308e-05,-4.861109799560679e-06,-0.0006281728275996003,-0.00041050649640401993,0.00042719045481926285,0.0001938995602456802,-1.5297664337805453e-05,-4.861109799560679e-06,-1.5297664337805453e-05,0.0009987249968849252,0.0016044689181243473,SeedSequence(42).spawn(23)[19],results/E13/part2_22_model_results.csv,UNTRACKED (results/ gitignored; see audit/provenance.json for mtime/sha256),STORED
EuroBERT/EuroBERT-610m,EuroBERT/EuroBERT-610m,d9af784ed20db6c2096e335ec6a67dd4a219924c,text,encoder,460123776,13,762,,,,0.9996238293034937,1.0007527536463374,8.106532412548177,57.21725262189751,MLM,256,16,9.218351562100363,-0.008384070706225917,0.009219914029773508,47,405,830,979,1088,1.2138646054639443e-05,-7.3482160936709145e-06,-0.00018525524733079997,0.00010267452089086335,-1.1488361444418067e-05,2.584339421175498e-05,-1.3748100464335167e-05,-0.0003614010910820975,0.00020897437848301233,-2.142687790154331e-05,-7.3482160936709145e-06,-1.3748100464335167e-05,-0.008376722490132245,0.009233662130237843,SeedSequence(42).spawn(23)[20],results/E13/part2_22_model_results.csv,UNTRACKED (results/ gitignored; see audit/provenance.json for mtime/sha256),STORED
EuroBERT/EuroBERT-2.1B,EuroBERT/EuroBERT-2.1B,81245a4d71f43452badf5e04458e4ddb831ff109,text,encoder,1812089088,14,2198,,,,0.9977414719034632,1.0045322505182814,2.750915946112038,20.893724690144545,MLM,256,16,8.12560979581756,-3.873112244302346e-05,-0.00011898446726430181,560,1905,1946,2212,2286,-4.549369936865021e-07,1.738597051916562e-05,-3.006272837080555e-06,1.0481994248537753e-05,2.0189366048188806e-05,-3.504244409912655e-07,3.522073023468464e-05,-5.176445253473666e-06,2.3816566404107678e-05,4.150377898647419e-05,1.0481994248537753e-05,2.3816566404107678e-05,-4.921311669156121e-05,-0.0001428010336684095,SeedSequence(42).spawn(23)[21],results/E13/part2_22_model_results.csv,UNTRACKED (results/ gitignored; see audit/provenance.json for mtime/sha256),STORED
answerdotai/ModernBERT-large,answerdotai/ModernBERT-large,45bb4654a4d5aaff24dd11d4781fa46d39bf8c13,text,encoder,344253440,19,379,,,,0.9701337490592797,1.0621492362619986,708.1322939648359,26.575958286152655,MLM,256,16,1.223925887615726,0.08090224393281813,2.2066469967108513,144,154,374,841,940,1.6563140138800046e-06,-2.864809794499256e-05,-4.662217224469844e-06,-0.00010014054080015342,1.5719646891536723e-05,1.721748641654245e-05,-3.865755115268413e-05,1.0745592769516807e-05,-0.0001811516771552433,4.8390952024759275e-05,-4.662217224469844e-06,1.0745592769516807e-05,0.08090690615004259,2.206636251118082,SeedSequence(42).spawn(23)[22],results/E13/part2_22_model_results.csv,UNTRACKED (results/ gitignored; see audit/provenance.json for mtime/sha256),STORED
