series,x_c_or_alpha,nll,gc_mean,gc_ci_low,gc_ci_high,n_prompts
random_direction,0.0,8.754319605827332,0.3064959490740741,0.3009889955873843,0.3121114095052084,288
random_direction,0.0125,8.753588829040527,0.3068485966435185,0.30130547417534725,0.31269011320891205,288
random_direction,0.025,8.752900342941285,,,,0
random_direction,0.05,8.751532158851624,,,,0
random_direction,0.1,8.748447380065919,,,,0
random_direction,0.25,8.74292501449585,,,,0
random_direction,0.5,8.733293561935424,0.3070746527777778,0.3014142071759259,0.31264693648726843,288
random_direction,0.75,8.722664160728455,,,,0
random_direction,1.0,8.711739401817322,0.3077799479166667,0.3018023455584491,0.31383870442708334,288
random_direction,1.5,8.684712767601013,,,,0
random_direction,2.0,8.663316617012024,,,,0
random_direction,3.0,8.608202695846558,0.3130154079861111,0.3066856101707176,0.3198343912760417,288
random_direction,5.0,8.49545283794403,,,,0
random_direction,8.0,8.375072193145751,0.340160228587963,0.3317138671875,0.3491122775607639,288
row2371_own_alpha_sweep,0.0,8.754319605827332,0.3064959490740741,,,288
row2371_own_alpha_sweep,0.25,7.790863447189331,0.3564453125,,,288
row2371_own_alpha_sweep,0.5,6.659344129562378,0.398193359375,,,288
row2371_own_alpha_sweep,0.75,6.4129008495807645,0.4178240740740741,,,288
row2371_own_alpha_sweep,1.0,6.38538052380085,0.4204011140046296,,,288
row2371_own_alpha_sweep,1.5,6.491060765981675,0.4252115885416667,,,288
row2371_own_alpha_sweep,2.0,6.6376173317432405,0.4120460792824074,,,288
row2371_own_alpha_sweep,3.0,6.981618630886078,0.3648817274305556,,,288
row2371_own_alpha_sweep,5.0,7.1376937079429625,0.3764105902777778,,,288
control_row_2621,matched,6.38568005502224,0.4201931423611111,,,288
control_row_456,matched,6.385956308841705,0.42115162037037035,,,288
control_row_102,matched,6.385612323284149,0.42075376157407407,,,288
control_row_3039,matched,6.386403141617775,0.4202473958333333,,,288
control_row_1126,matched,6.3868655478954315,0.41980432581018523,,,288
