model,coord_role,layer,row,norm,q1,pr_spec
EuroBERT/EuroBERT-610m,candidate,13,762,8.106532412546393,0.9996238293034939,1.0007527536463368
EuroBERT/EuroBERT-610m,rank2_by_norm,13,729,4.3225918222995325,0.9990315298558887,1.0019397504620189
EuroBERT/EuroBERT-610m,rank3_by_norm,13,691,2.5306220414863407,0.9979333063513519,1.0041462088743078
EuroBERT/EuroBERT-610m,rank4_by_norm,13,643,1.3521374661264063,0.9907248368828353,1.01881130555248
EuroBERT/EuroBERT-610m,rank5_by_norm,13,322,0.879788590514637,0.9787104216374359,1.043976884130002
EuroBERT/EuroBERT-610m,rank6_by_norm,13,37,0.47409582923211313,0.9255031513161195,1.1674400614075429
EuroBERT/EuroBERT-2.1B,candidate,14,2198,2.7509159461102834,0.9977414719034632,1.0045322505182814
EuroBERT/EuroBERT-2.1B,rank2_by_norm,14,1050,2.735639844028458,0.9977994831890805,1.0044155315281016
EuroBERT/EuroBERT-2.1B,rank3_by_norm,14,842,2.668809258282012,0.9950389608880763,1.0099914800793344
EuroBERT/EuroBERT-2.1B,rank4_by_norm,14,1825,2.5704299167595024,0.9954623768345942,1.0091342769735012
EuroBERT/EuroBERT-2.1B,rank5_by_norm,14,497,2.476643664749568,0.9972129108983331,1.0055968238472022
EuroBERT/EuroBERT-2.1B,rank6_by_norm,14,1173,2.4404576455365694,0.9952795234274264,1.0095046660018925
answerdotai/ModernBERT-large,candidate,19,379,708.1322939646808,0.9701337490592893,1.062149236261978
answerdotai/ModernBERT-large,rank2_by_norm,19,307,161.57861806233936,0.9727025578930958,1.0568686233834197
answerdotai/ModernBERT-large,rank3_by_norm,19,963,133.01218067998917,0.915407462397004,1.1911307746242277
answerdotai/ModernBERT-large,rank4_by_norm,19,195,130.92376688719216,0.9070986419843209,1.2129825438724542
answerdotai/ModernBERT-large,rank5_by_norm,19,711,125.22849592449322,0.9619462873336854,1.080591446768002
answerdotai/ModernBERT-large,rank6_by_norm,19,270,99.12759366788924,0.9440827994235748,1.1213735813357528
ModernBERT-base,candidate,15,251,836.0465383926875,0.8969889514776362,1.2336584717613188
ModernBERT-base,rank2_by_norm,15,67,125.6248964443872,0.6548358092050907,2.28939387147903
ModernBERT-base,rank3_by_norm,15,606,63.44565530135002,0.6196989523401721,2.5910094966233266
ModernBERT-base,rank4_by_norm,15,179,59.77244418466892,0.6151803063631464,2.6127157497449853
ModernBERT-base,rank5_by_norm,15,142,54.64751042110811,0.7036947423349098,2.009474947307226
ModernBERT-base,rank6_by_norm,15,583,48.5690059777836,0.4373909172300218,5.048045281683084
DNABERT-2,candidate,5,603,74.00855774609174,0.7933113982887914,1.5032876981172383
DNABERT-2,rank2_by_norm,5,86,28.952962874586646,0.8664186766079645,1.3136280389297277
