model	layer	row	ratio_rank	activation_ratio	nll	delta_nll	rel_delta	above_detector_threshold	is_frozen_candidate
GENERator-EUK-3B	4	3014	1348	1.1484	6.22878081	-0.00019106	-0.00003067	0	0
GENERator-EUK-3B	4	1168	1656	0.9132	6.22921599	+0.00024412	+0.00003919	0	0
GENERator-EUK-3B	4	2883	2035	0.6368	6.22900939	+0.00003753	+0.00000602	0	0
GENERator-EUK-3B	4	2123	2500	0.3633	6.22897820	+0.00000634	+0.00000102	0	0
GENERator-EUK-3B	4	1643	3072	0.0251	6.22904087	+0.00006901	+0.00001108	0	0
SmolLM2-1.7B	7	227	1	3181.6968	20.88682623	+18.27229213	+6.98873736	1	1
SmolLM2-1.7B	7	749	2	358.5605	2.67224864	+0.05771454	+0.02207450	1	0
SmolLM2-1.7B	7	423	3	69.9533	2.69520399	+0.08066989	+0.03085440	1	0
SmolLM2-1.7B	7	161	4	63.5438	10.12298247	+7.50844837	+2.87181123	1	0
SmolLM2-1.7B	7	1195	5	60.2669	2.64469506	+0.03016096	+0.01153588	1	0
SmolLM2-1.7B	7	318	6	55.3866	2.63347745	+0.01894335	+0.00724540	1	0
SmolLM2-1.7B	7	1122	7	52.3152	2.62462735	+0.01009325	+0.00386044	1	0
SmolLM2-1.7B	7	618	9	33.3410	2.61776583	+0.00323173	+0.00123606	1	0
SmolLM2-1.7B	7	338	10	32.8559	2.62189046	+0.00735636	+0.00281364	1	0
SmolLM2-1.7B	7	843	13	23.7034	2.62077800	+0.00624390	+0.00238815	1	0
SmolLM2-1.7B	7	941	15	16.5533	2.61630857	+0.00177447	+0.00067869	1	0
SmolLM2-1.7B	7	951	19	11.5204	2.61560555	+0.00107145	+0.00040980	1	0
SmolLM2-1.7B	7	209	23	10.3062	2.61559844	+0.00106434	+0.00040709	1	0
SmolLM2-1.7B	7	1708	28	5.9100	2.61474788	+0.00021378	+0.00008177	1	0
SmolLM2-1.7B	7	1773	34	5.0372	2.61428485	-0.00024924	-0.00009533	1	0
SmolLM2-1.7B	7	455	41	4.2372	2.61449350	-0.00004060	-0.00001553	0	0
SmolLM2-1.7B	7	809	50	3.8292	2.61406531	-0.00046879	-0.00017930	0	0
SmolLM2-1.7B	7	1939	61	3.5869	2.61440095	-0.00013315	-0.00005092	0	0
SmolLM2-1.7B	7	307	74	3.1375	2.61431335	-0.00022075	-0.00008443	0	0
SmolLM2-1.7B	7	1624	90	2.9356	2.61456859	+0.00003450	+0.00001319	0	0
SmolLM2-1.7B	7	852	109	2.7814	2.61453437	+0.00000027	+0.00000010	0	0
SmolLM2-1.7B	7	417	133	2.5229	2.61435985	-0.00017425	-0.00006665	0	0
SmolLM2-1.7B	7	702	161	2.3044	2.61442454	-0.00010955	-0.00004190	0	0
SmolLM2-1.7B	7	380	196	2.1589	2.61463856	+0.00010446	+0.00003995	0	0
SmolLM2-1.7B	7	1442	238	2.0514	2.61450500	-0.00002910	-0.00001113	0	0
SmolLM2-1.7B	7	1325	290	1.9277	2.61459470	+0.00006060	+0.00002318	0	0
SmolLM2-1.7B	7	1979	353	1.7492	2.61447138	-0.00006272	-0.00002399	0	0
SmolLM2-1.7B	7	1090	429	1.6274	2.61457408	+0.00003998	+0.00001529	0	0
SmolLM2-1.7B	7	1575	521	1.4653	2.61457791	+0.00004381	+0.00001676	0	0
SmolLM2-1.7B	7	1303	634	1.3490	2.61456773	+0.00003364	+0.00001286	0	0
SmolLM2-1.7B	7	444	771	1.2142	2.61430714	-0.00022696	-0.00008681	0	0
SmolLM2-1.7B	7	144	937	1.0577	2.61461755	+0.00008346	+0.00003192	0	0
SmolLM2-1.7B	7	1305	1139	0.9128	2.61458539	+0.00005129	+0.00001962	0	0
SmolLM2-1.7B	7	1558	1385	0.7711	2.61463001	+0.00009592	+0.00003669	0	0
SmolLM2-1.7B	7	1900	1684	0.6502	2.61457274	+0.00003864	+0.00001478	0	0
SmolLM2-1.7B	7	1831	2048	0.4880	2.61458694	+0.00005284	+0.00002021	0	0
